Sample_ID,Colony_ID,Year_transplant,Origin_code,Origin_name,Origin_type,treatment_origin-destination,Destination_code,Destination_type,Destination_name,pH_Destination,id,species,origin,transplant.saturation,transplant,transplant.position,colony.id,collection_date,RTE.deployment,sampling.RNAlater_year2,Sequence
NC_291_C_Pa_yr2,185,Year2,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,291,Porites astreoides,Norte Control,high,Control,C41,185,13/12/12,17/12/12,15/1/15,Yes
NC_294_C_Pa_yr2,281,Year2,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,294,Porites astreoides,Norte Control,high,Control,C45,281,13/12/12,17/12/12,15/1/15,Yes
NC_297_C_Pa_yr2,341,Year2,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,297,Porites astreoides,Norte Control,high,Control,C12,341,13/12/12,17/12/12,15/1/15,Yes
NC_300_C_Pa_yr2,83,Year2,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,300,Porites astreoides,Norte Control,high,Control,C2,83,13/12/12,17/12/12,15/1/15,Yes
NC_313_C_Pa_yr2,81,Year2,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,313,Porites astreoides,Norte Control,high,Control,C42,81,13/12/12,17/12/12,15/1/15,Yes
NC_316_C_Pa_yr2,308,Year2,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,316,Porites astreoides,Norte Control,high,Control,C8,308,13/12/12,17/12/12,15/1/15,Yes
NC_319_C_Pa_yr2,105,Year2,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,319,Porites astreoides,Norte Control,high,Control,C44,105,13/12/12,17/12/12,15/1/15,Yes
NC_322_C_Pa_yr2,38,Year2,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,322,Porites astreoides,Norte Control,high,Control,C30,38,13/12/12,17/12/12,15/1/15,Yes
NC_325_C_Pa_yr2,670,Year2,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,325,Porites astreoides,Norte Control,high,Control,C57,670,13/12/12,17/12/12,15/1/15,Yes
NO_265_La_Pa_yr2,692,Year2,NO,Norte.Ojo,ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,265,Porites astreoides,Norte Center,low,Laja,L25,692,12/12/12,17/12/12,15/1/15,Yes
NO_268_La_Pa_yr2,264,Year2,NO,Norte.Ojo,ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,268,Porites astreoides,Norte Center,low,Laja,L51,264,12/12/12,17/12/12,15/1/15,Yes
NO_271_La_Pa_yr2,230,Year2,NO,Norte.Ojo,ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,271,Porites astreoides,Norte Center,low,Laja,L43,230,12/12/12,17/12/12,15/1/15,Yes
NO_274_La_Pa_yr2,550,Year2,NO,Norte.Ojo,ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,274,Porites astreoides,Norte Center,low,Laja,L44,550,12/12/12,17/12/12,15/1/15,Yes
