"","DEG","up.results_OO_LC_padj.1","down.results_OO_LC_padj.1"
"1","Down",NA,"GCKDGN101AQ2MM_Past"
"2","Down",NA,"GCKDGN101ASTYA_Past"
"3","Down",NA,"GCKDGN101BT8AW_Past"
"4","Down",NA,"GCKDGN102DZJCD_Past"
"5","Down",NA,"GCKDGN102ELJ7C_Past"
"6","Down",NA,"GE907925_Past"
"7","Down",NA,"GE916977_Past"
"8","Down",NA,"isogroup00114_Past"
"9","Down",NA,"isogroup00131_Past"
"10","Down",NA,"isogroup00152_Past"
"11","Down",NA,"isogroup00502_Past"
"12","Down",NA,"isogroup00571_Past"
"13","Down",NA,"isogroup00635_Past"
"14","Down",NA,"isogroup00734_Past"
"15","Down",NA,"isogroup00764_Past"
"16","Down",NA,"isogroup00894_Past"
"17","Down",NA,"isogroup01002_Past"
"18","Down",NA,"isogroup01037_Past"
"19","Down",NA,"isogroup01225_Past"
"20","Down",NA,"isogroup01230_Past"
"21","Down",NA,"isogroup01259_Past"
"22","Down",NA,"isogroup01429_Past"
"23","Down",NA,"isogroup01430_Past"
"24","Down",NA,"isogroup01438_Past"
"25","Down",NA,"isogroup01462_Past"
"26","Down",NA,"isogroup01483_Past"
"27","Down",NA,"isogroup01522_Past"
"28","Down",NA,"isogroup01548_Past"
"29","Down",NA,"isogroup01625_Past"
"30","Down",NA,"isogroup01691_Past"
"31","Down",NA,"isogroup01754_Past"
"32","Down",NA,"isogroup01793_Past"
"33","Down",NA,"isogroup01825_Past"
"34","Down",NA,"isogroup01872_Past"
"35","Down",NA,"isogroup01986_Past"
"36","Down",NA,"isogroup01992_Past"
"37","Down",NA,"isogroup02193_Past"
"38","Down",NA,"isogroup02281_Past"
"39","Down",NA,"isogroup02332_Past"
"40","Down",NA,"isogroup02477_Past"
"41","Down",NA,"isogroup02481_Past"
"42","Down",NA,"isogroup02518_Past"
"43","Down",NA,"isogroup02682_Past"
"44","Down",NA,"isogroup02684_Past"
"45","Down",NA,"isogroup02922_Past"
"46","Down",NA,"isogroup03010_Past"
"47","Down",NA,"isogroup03099_Past"
"48","Down",NA,"isogroup03105_Past"
"49","Down",NA,"isogroup03244_Past"
"50","Down",NA,"isogroup03248_Past"
"51","Down",NA,"isogroup03422_Past"
"52","Down",NA,"isogroup04051_Past"
"53","Down",NA,"isogroup04265_Past"
"54","Down",NA,"isogroup04343_Past"
"55","Down",NA,"isogroup04617_Past"
"56","Down",NA,"isogroup04626_Past"
"57","Down",NA,"isogroup04862_Past"
"58","Down",NA,"isogroup04912_Past"
"59","Down",NA,"isogroup04997_Past"
"60","Down",NA,"isogroup05775_Past"
"61","Down",NA,"isogroup05861_Past"
"62","Down",NA,"isogroup05911_Past"
"63","Down",NA,"isogroup06057_Past"
"64","Down",NA,"isogroup06918_Past"
"65","Down",NA,"isogroup06926_Past"
"66","Down",NA,"isogroup07053_Past"
"67","Down",NA,"isogroup07141_Past"
"68","Down",NA,"isogroup07316_Past"
"69","Down",NA,"isogroup07386_Past"
"70","Down",NA,"isogroup07466_Past"
"71","Down",NA,"isogroup07532_Past"
"72","Down",NA,"isogroup07702_Past"
"73","Down",NA,"isogroup08136_Past"
