"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","isogroup20691_Past",491.952331806582,8.6065026750004,1.17087812105528,7.35046843922881,1.97513414736429e-13,5.103658013036e-10
"2","isogroup23261_Past",4471.59342507498,7.95348127649785,1.08947877706753,7.30026269800833,2.87206416040293e-13,5.103658013036e-10
"3","isogroup14250_Past",42377.8579472344,7.82842623912721,1.12290979224171,6.97155398698501,3.13458983639558e-12,3.71344409284996e-09
"4","isogroup06096_Past",109607.310134112,7.36570940182186,1.09193839282718,6.74553569157964,1.52463449780224e-11,1.35463775129729e-08
"5","isogroup09729_Past",486.520562098383,9.8720502665765,1.49795393140366,6.59035639188575,4.38772029268982e-11,3.11879158404393e-08
"6","isogroup00977_Past",9564.19987356818,6.00639838340691,0.920857448000159,6.52261476133043,6.90921605038953e-11,3.76784060551802e-08
"7","isogroup30333_Past",40950.6398659014,7.03488519872963,1.08031414607745,6.51188843937003,7.42118295965846e-11,3.76784060551802e-08
"8","isogroup15089_Past",749.023673342205,8.76194829241715,1.34999705672166,6.49034621875008,8.56393410209547e-11,3.80452772485591e-08
"9","isogroup02457_Past",11268.8915508232,7.18572389747557,1.11758476657539,6.42969026814383,1.27864217363826e-10,5.04921587234486e-08
"10","isogroup07761_Past",30969.4568949423,7.46019620371686,1.18257782085277,6.30841883905554,2.81900490373118e-10,1.00187434278606e-07
"11","isogroup28947_Past",995.815130839859,6.95560781919844,1.12644236475546,6.17484572387196,6.62281083650883e-10,2.13976997390476e-07
"12","isogroup23605_Past",146.266954507229,6.89462743547125,1.18330168870015,5.8266015347658,5.65674567245436e-09,1.6753395099919e-06
"13","isogroup06755_Past",350.46753762419,9.18063551278886,1.65790373447264,5.53749612953801,3.06826472943282e-08,8.38816372954172e-06
"14","isogroup03915_Past",47010.6074485519,6.08719541001098,1.12650196444193,5.40362609400915,6.53070081722681e-08,1.657865050316e-05
"15","isogroup28285_Past",4405.30177627172,5.99114507558501,1.13333853198554,5.28628023004642,1.24828622186726e-07,2.95760615501082e-05
"16","isogroup03376_Past",185.167053727607,2.86149575181757,0.601943796418489,4.7537590200999,1.99669010829464e-06,0.000443514790304946
"17","isogroup18353_Past",22.0150572529198,5.48128627158177,1.23075453041271,4.45359828961484,8.44430244581818e-06,0.00176535593484928
"18","isogroup25216_Past",14.5033357264743,5.77289069008387,1.39693252571918,4.13254798195198,3.58763841257357e-05,0.00708359273238136
"19","GE905867_Past",35.6003116443207,1.85560208371665,0.464906678235242,3.99134314602751,6.57001360471894e-05,0.0122893833427216
"20","GE916432_Past",22.5364846911363,2.39007213103759,0.612047284685239,3.9050449055856,9.42078899112215e-05,0.0167407420372241
"21","GE906688_Past",13.9420876091425,2.24451066254407,0.610588953498487,3.67597653001044,0.000236941307018109,0.0400994954829694
"22","isogroup06869_Past",17.8304525239395,3.14390926755887,0.862082373998644,3.64687802741668,0.000265445848151847,0.0428815701968939
"23","GCKDGN103FVR0I_Past",195.199420647634,3.24406840895038,0.897386407549276,3.61501843760904,0.000300326246920319,0.0464069339806441
"24","isogroup01625_Past",16.7153026649434,-1.43640920101458,0.40131564672829,-3.57925042974239,0.000344581144203947,0.0510267244375345
"25","isogroup22300_Past",7636.97387035369,1.77083065165053,0.496303623157049,3.56803893629883,0.000359663067085093,0.0511297016168169
"26","isogroup02575_Past",6.10139652057884,-2.10040325066057,0.598295103111677,-3.51064757130147,0.00044701661384842,0.0588406313191586
"27","isogroup08876_Past",29.2101937608358,2.45199748908154,0.697123968344327,3.51730481295177,0.000435952844197919,0.0588406313191586
"28","isogroup00704_Past",136.638155906519,1.50917454247626,0.435947630837813,3.46182531047571,0.000536525277785141,0.0681003870445854
"29","GCKDGN102EO064_Past",11.7662509246365,5.67330624313151,1.65178547547685,3.43465076268073,0.000593317931987931,0.0702883976761702
"30","GE911328_Past",11.3771887297867,3.44702148541621,1.00262425199521,3.43799930887037,0.000586029194269015,0.0702883976761702
"31","isogroup08435_Past",25.5804990165791,1.16004430716925,0.341644102203325,3.39547587588347,0.000685094109509299,0.0785427246837435
"32","GE908397_Past",239.478199887397,2.90763295611445,0.859672969740968,3.38225471598876,0.000718934492655227,0.0798466620905212
"33","isogroup09684_Past",6.02082667638737,2.5116382663838,0.756098848856609,3.32183850059018,0.000894264377660319,0.0963095635819629
