"","DEG","up.results_OO_LO_padj.1","down.results_OO_LO_padj.1"
"1","Down",NA,"isogroup01625_Past"
"2","Down",NA,"isogroup02575_Past"
"3","Up","GCKDGN102EO064_Past",NA
"4","Up","GCKDGN103FVR0I_Past",NA
"5","Up","GE905867_Past",NA
"6","Up","GE906688_Past",NA
"7","Up","GE908397_Past",NA
"8","Up","GE911328_Past",NA
"9","Up","GE916432_Past",NA
"10","Up","isogroup00704_Past",NA
"11","Up","isogroup00977_Past",NA
"12","Up","isogroup02457_Past",NA
"13","Up","isogroup03376_Past",NA
"14","Up","isogroup03915_Past",NA
"15","Up","isogroup06096_Past",NA
"16","Up","isogroup06755_Past",NA
"17","Up","isogroup06869_Past",NA
"18","Up","isogroup07761_Past",NA
"19","Up","isogroup08435_Past",NA
"20","Up","isogroup08876_Past",NA
"21","Up","isogroup09684_Past",NA
"22","Up","isogroup09729_Past",NA
"23","Up","isogroup14250_Past",NA
"24","Up","isogroup15089_Past",NA
"25","Up","isogroup18353_Past",NA
"26","Up","isogroup20691_Past",NA
"27","Up","isogroup22300_Past",NA
"28","Up","isogroup23261_Past",NA
"29","Up","isogroup23605_Past",NA
"30","Up","isogroup25216_Past",NA
"31","Up","isogroup28285_Past",NA
"32","Up","isogroup28947_Past",NA
"33","Up","isogroup30333_Past",NA
