"","DEG","up.results_OO_OC_padj.1","down.results_OO_OC_padj.1"
"1","Down",NA,"GCKDGN101B3Q1X_Past"
"2","Down",NA,"GCKDGN102D4WH9_Past"
"3","Down",NA,"GCKDGN102D8727_Past"
"4","Down",NA,"GCKDGN102DZJCD_Past"
"5","Down",NA,"GCKDGN102EL1F5_Past"
"6","Down",NA,"GCKDGN102ELJ7C_Past"
"7","Down",NA,"GCKDGN103GZ3R5_Past"
"8","Down",NA,"GCKDGN103HGMAQ_Past"
"9","Down",NA,"GE907034_Past"
"10","Down",NA,"GE907724_Past"
"11","Down",NA,"GE907925_Past"
"12","Down",NA,"GE909869_Past"
"13","Down",NA,"GE912504_Past"
"14","Down",NA,"isogroup00005_Past"
"15","Down",NA,"isogroup00088_Past"
"16","Down",NA,"isogroup00114_Past"
"17","Down",NA,"isogroup00131_Past"
"18","Down",NA,"isogroup00157_Past"
"19","Down",NA,"isogroup00185_Past"
"20","Down",NA,"isogroup00359_Past"
"21","Down",NA,"isogroup00380_Past"
"22","Down",NA,"isogroup00507_Past"
"23","Down",NA,"isogroup00564_Past"
"24","Down",NA,"isogroup00571_Past"
"25","Down",NA,"isogroup00610_Past"
"26","Down",NA,"isogroup00635_Past"
"27","Down",NA,"isogroup00734_Past"
"28","Down",NA,"isogroup00764_Past"
"29","Down",NA,"isogroup00954_Past"
"30","Down",NA,"isogroup01037_Past"
"31","Down",NA,"isogroup01090_Past"
"32","Down",NA,"isogroup01128_Past"
"33","Down",NA,"isogroup01154_Past"
"34","Down",NA,"isogroup01175_Past"
"35","Down",NA,"isogroup01209_Past"
"36","Down",NA,"isogroup01225_Past"
"37","Down",NA,"isogroup01230_Past"
"38","Down",NA,"isogroup01340_Past"
"39","Down",NA,"isogroup01374_Past"
"40","Down",NA,"isogroup01427_Past"
"41","Down",NA,"isogroup01429_Past"
"42","Down",NA,"isogroup01432_Past"
"43","Down",NA,"isogroup01462_Past"
"44","Down",NA,"isogroup01491_Past"
"45","Down",NA,"isogroup01495_Past"
"46","Down",NA,"isogroup01501_Past"
"47","Down",NA,"isogroup01639_Past"
"48","Down",NA,"isogroup01678_Past"
"49","Down",NA,"isogroup01684_Past"
"50","Down",NA,"isogroup01736_Past"
"51","Down",NA,"isogroup01741_Past"
"52","Down",NA,"isogroup01754_Past"
"53","Down",NA,"isogroup01770_Past"
"54","Down",NA,"isogroup01789_Past"
"55","Down",NA,"isogroup01825_Past"
"56","Down",NA,"isogroup01867_Past"
"57","Down",NA,"isogroup01872_Past"
"58","Down",NA,"isogroup01894_Past"
"59","Down",NA,"isogroup01898_Past"
"60","Down",NA,"isogroup01944_Past"
"61","Down",NA,"isogroup01959_Past"
"62","Down",NA,"isogroup02117_Past"
"63","Down",NA,"isogroup02171_Past"
"64","Down",NA,"isogroup02193_Past"
"65","Down",NA,"isogroup02197_Past"
"66","Down",NA,"isogroup02266_Past"
"67","Down",NA,"isogroup02270_Past"
"68","Down",NA,"isogroup02281_Past"
"69","Down",NA,"isogroup02307_Past"
"70","Down",NA,"isogroup02332_Past"
"71","Down",NA,"isogroup02392_Past"
"72","Down",NA,"isogroup02402_Past"
"73","Down",NA,"isogroup02481_Past"
"74","Down",NA,"isogroup02518_Past"
"75","Down",NA,"isogroup02552_Past"
"76","Down",NA,"isogroup02594_Past"
"77","Down",NA,"isogroup02658_Past"
"78","Down",NA,"isogroup02676_Past"
"79","Down",NA,"isogroup02682_Past"
"80","Down",NA,"isogroup02684_Past"
"81","Down",NA,"isogroup02751_Past"
"82","Down",NA,"isogroup02808_Past"
"83","Down",NA,"isogroup02850_Past"
"84","Down",NA,"isogroup02869_Past"
"85","Down",NA,"isogroup02912_Past"
"86","Down",NA,"isogroup02977_Past"
"87","Down",NA,"isogroup03057_Past"
"88","Down",NA,"isogroup03099_Past"
"89","Down",NA,"isogroup03219_Past"
"90","Down",NA,"isogroup03244_Past"
"91","Down",NA,"isogroup03248_Past"
"92","Down",NA,"isogroup03428_Past"
"93","Down",NA,"isogroup03441_Past"
"94","Down",NA,"isogroup03446_Past"
"95","Down",NA,"isogroup03573_Past"
"96","Down",NA,"isogroup03612_Past"
"97","Down",NA,"isogroup03657_Past"
"98","Down",NA,"isogroup03788_Past"
"99","Down",NA,"isogroup03789_Past"
"100","Down",NA,"isogroup03895_Past"
"101","Down",NA,"isogroup03932_Past"
"102","Down",NA,"isogroup04204_Past"
"103","Down",NA,"isogroup04257_Past"
"104","Down",NA,"isogroup04265_Past"
"105","Down",NA,"isogroup04352_Past"
"106","Down",NA,"isogroup04476_Past"
"107","Down",NA,"isogroup04617_Past"
"108","Down",NA,"isogroup04769_Past"
"109","Down",NA,"isogroup04997_Past"
"110","Down",NA,"isogroup05110_Past"
"111","Down",NA,"isogroup05463_Past"
"112","Down",NA,"isogroup05617_Past"
"113","Down",NA,"isogroup05648_Past"
"114","Down",NA,"isogroup05671_Past"
"115","Down",NA,"isogroup05714_Past"
"116","Down",NA,"isogroup05739_Past"
"117","Down",NA,"isogroup05775_Past"
"118","Down",NA,"isogroup05861_Past"
"119","Down",NA,"isogroup06006_Past"
"120","Down",NA,"isogroup06057_Past"
"121","Down",NA,"isogroup06621_Past"
"122","Down",NA,"isogroup06879_Past"
"123","Down",NA,"isogroup06918_Past"
"124","Down",NA,"isogroup06933_Past"
"125","Down",NA,"isogroup07043_Past"
"126","Down",NA,"isogroup07053_Past"
"127","Down",NA,"isogroup07316_Past"
"128","Down",NA,"isogroup07370_Past"
"129","Down",NA,"isogroup07386_Past"
"130","Down",NA,"isogroup07464_Past"
"131","Down",NA,"isogroup07532_Past"
"132","Down",NA,"isogroup07576_Past"
"133","Down",NA,"isogroup07676_Past"
"134","Down",NA,"isogroup07701_Past"
"135","Down",NA,"isogroup07702_Past"
"136","Down",NA,"isogroup08043_Past"
"137","Down",NA,"isogroup08226_Past"
"138","Down",NA,"isogroup08237_Past"
"139","Down",NA,"isogroup08248_Past"
"140","Down",NA,"isogroup08423_Past"
"141","Down",NA,"isogroup08456_Past"
"142","Down",NA,"isogroup08674_Past"
"143","Down",NA,"isogroup08730_Past"
"144","Down",NA,"isogroup08903_Past"
"145","Down",NA,"isogroup09012_Past"
"146","Down",NA,"isogroup09034_Past"
"147","Down",NA,"isogroup09093_Past"
"148","Down",NA,"isogroup09200_Past"
"149","Down",NA,"isogroup09366_Past"
"150","Down",NA,"isogroup09474_Past"
"151","Down",NA,"isogroup09617_Past"
"152","Down",NA,"isogroup09962_Past"
"153","Down",NA,"isogroup10399_Past"
"154","Down",NA,"isogroup10455_Past"
"155","Down",NA,"isogroup10600_Past"
"156","Down",NA,"isogroup10710_Past"
"157","Down",NA,"isogroup10980_Past"
"158","Down",NA,"isogroup10983_Past"
"159","Down",NA,"isogroup12005_Past"
"160","Down",NA,"isogroup12427_Past"
"161","Down",NA,"isogroup12516_Past"
"162","Down",NA,"isogroup12609_Past"
"163","Down",NA,"isogroup12648_Past"
"164","Down",NA,"isogroup12688_Past"
"165","Down",NA,"isogroup12760_Past"
"166","Down",NA,"isogroup13348_Past"
"167","Down",NA,"isogroup13354_Past"
"168","Down",NA,"isogroup13481_Past"
"169","Down",NA,"isogroup13910_Past"
"170","Down",NA,"isogroup14019_Past"
"171","Down",NA,"isogroup14309_Past"
"172","Down",NA,"isogroup14420_Past"
"173","Down",NA,"isogroup14966_Past"
"174","Down",NA,"isogroup15129_Past"
"175","Down",NA,"isogroup15287_Past"
"176","Down",NA,"isogroup15382_Past"
"177","Down",NA,"isogroup15537_Past"
"178","Down",NA,"isogroup15744_Past"
"179","Down",NA,"isogroup15884_Past"
"180","Down",NA,"isogroup15962_Past"
"181","Down",NA,"isogroup16192_Past"
"182","Down",NA,"isogroup16476_Past"
"183","Down",NA,"isogroup16572_Past"
"184","Down",NA,"isogroup16881_Past"
"185","Down",NA,"isogroup17724_Past"
"186","Down",NA,"isogroup18072_Past"
"187","Down",NA,"isogroup18407_Past"
"188","Down",NA,"isogroup18555_Past"
"189","Down",NA,"isogroup18621_Past"
"190","Down",NA,"isogroup18932_Past"
"191","Down",NA,"isogroup19426_Past"
"192","Down",NA,"isogroup19673_Past"
"193","Down",NA,"isogroup20021_Past"
"194","Down",NA,"isogroup20057_Past"
"195","Down",NA,"isogroup20412_Past"
"196","Down",NA,"isogroup21160_Past"
"197","Down",NA,"isogroup21683_Past"
"198","Down",NA,"isogroup22065_Past"
"199","Down",NA,"isogroup22509_Past"
"200","Down",NA,"isogroup22823_Past"
"201","Down",NA,"isogroup23112_Past"
"202","Down",NA,"isogroup23296_Past"
"203","Down",NA,"isogroup23315_Past"
"204","Down",NA,"isogroup23471_Past"
"205","Down",NA,"isogroup23518_Past"
"206","Down",NA,"isogroup24104_Past"
"207","Down",NA,"isogroup25039_Past"
"208","Down",NA,"isogroup25256_Past"
"209","Down",NA,"isogroup26018_Past"
"210","Down",NA,"isogroup26325_Past"
"211","Down",NA,"isogroup27657_Past"
"212","Down",NA,"isogroup28186_Past"
"213","Down",NA,"isogroup28989_Past"
"214","Down",NA,"isogroup29382_Past"
"215","Down",NA,"isogroup29964_Past"
"216","Up","GCKDGN102EO064_Past",NA
"217","Up","GCKDGN103F18D6_Past",NA
"218","Up","GE905867_Past",NA
"219","Up","GE906688_Past",NA
"220","Up","GE908224_Past",NA
"221","Up","GE908397_Past",NA
"222","Up","GE908492_Past",NA
"223","Up","GE911073_Past",NA
"224","Up","GE911328_Past",NA
"225","Up","GE916432_Past",NA
"226","Up","isogroup00011_Past",NA
"227","Up","isogroup00068_Past",NA
"228","Up","isogroup00163_Past",NA
"229","Up","isogroup00340_Past",NA
"230","Up","isogroup00361_Past",NA
"231","Up","isogroup00364_Past",NA
"232","Up","isogroup00385_Past",NA
"233","Up","isogroup00468_Past",NA
"234","Up","isogroup00547_Past",NA
"235","Up","isogroup00623_Past",NA
"236","Up","isogroup00704_Past",NA
"237","Up","isogroup00828_Past",NA
"238","Up","isogroup00977_Past",NA
"239","Up","isogroup01504_Past",NA
"240","Up","isogroup01578_Past",NA
"241","Up","isogroup01579_Past",NA
"242","Up","isogroup01638_Past",NA
"243","Up","isogroup01694_Past",NA
"244","Up","isogroup01737_Past",NA
"245","Up","isogroup01946_Past",NA
"246","Up","isogroup01981_Past",NA
"247","Up","isogroup01991_Past",NA
"248","Up","isogroup02057_Past",NA
"249","Up","isogroup02059_Past",NA
"250","Up","isogroup02078_Past",NA
"251","Up","isogroup02090_Past",NA
"252","Up","isogroup02376_Past",NA
"253","Up","isogroup02457_Past",NA
"254","Up","isogroup02554_Past",NA
"255","Up","isogroup02632_Past",NA
"256","Up","isogroup02758_Past",NA
"257","Up","isogroup02762_Past",NA
"258","Up","isogroup02825_Past",NA
"259","Up","isogroup02842_Past",NA
"260","Up","isogroup02928_Past",NA
"261","Up","isogroup02942_Past",NA
"262","Up","isogroup03030_Past",NA
"263","Up","isogroup03034_Past",NA
"264","Up","isogroup03066_Past",NA
"265","Up","isogroup03083_Past",NA
