"","gene","module"
"1","GCKDGN101A0M5U_Past","pink"
"2","GCKDGN101A2BO2_Past","pink"
"3","GCKDGN101A2NQR_Past","pink"
"4","GCKDGN101A2V3C_Past","pink"
"5","GCKDGN101A32G8_Past","pink"
"6","GCKDGN101A33CU_Past","pink"
"7","GCKDGN101A3N2H_Past","pink"
"8","GCKDGN101A44VH_Past","pink"
"9","GCKDGN101A4PN8_Past","pink"
"10","GCKDGN101A5F06_Past","pink"
"11","GCKDGN101A5OA9_Past","pink"
"12","GCKDGN101A5QMR_Past","pink"
"13","GCKDGN101A5WJE_Past","pink"
"14","GCKDGN101A67QA_Past","pink"
"15","GCKDGN101A7IKO_Past","pink"
"16","GCKDGN101A7NLU_Past","pink"
"17","GCKDGN101A7NRW_Past","pink"
"18","GCKDGN101A80KN_Past","pink"
"19","GCKDGN101A84QZ_Past","pink"
"20","GCKDGN101A9DE4_Past","pink"
"21","GCKDGN101A9IW7_Past","pink"
"22","GCKDGN101AJ0GF_Past","pink"
"23","GCKDGN101AK1BY_Past","pink"
"24","GCKDGN101AKLIM_Past","pink"
"25","GCKDGN101AL2AY_Past","pink"
"26","GCKDGN101ALD7G_Past","pink"
"27","GCKDGN101ALDZ8_Past","pink"
"28","GCKDGN101AMKEX_Past","pink"
"29","GCKDGN101AN6EJ_Past","pink"
"30","GCKDGN101APJD9_Past","pink"
"31","GCKDGN101APOZG_Past","pink"
"32","GCKDGN101AQ2MM_Past","pink"
"33","GCKDGN101AQJ2N_Past","pink"
"34","GCKDGN101AQQM9_Past","pink"
"35","GCKDGN101ASTYI_Past","pink"
"36","GCKDGN101ASWZV_Past","pink"
"37","GCKDGN101ATM7W_Past","pink"
"38","GCKDGN101ATSXN_Past","pink"
"39","GCKDGN101ATV5Z_Past","pink"
"40","GCKDGN101AUH3O_Past","pink"
"41","GCKDGN101AUKUK_Past","pink"
"42","GCKDGN101AV6V2_Past","pink"
"43","GCKDGN101AVHSH_Past","pink"
"44","GCKDGN101AVHX5_Past","pink"
"45","GCKDGN101AVJ0A_Past","pink"
"46","GCKDGN101AVLKI_Past","pink"
"47","GCKDGN101AWCQV_Past","pink"
"48","GCKDGN101AX1ZG_Past","pink"
"49","GCKDGN101AYF91_Past","pink"
"50","GCKDGN101AYNOC_Past","pink"
"51","GCKDGN101AYQ00_Past","pink"
"52","GCKDGN101AZEHP_Past","pink"
"53","GCKDGN101AZPY8_Past","pink"
"54","GCKDGN101B2UBJ_Past","pink"
"55","GCKDGN101B3O3I_Past","pink"
"56","GCKDGN101B3Q1X_Past","pink"
"57","GCKDGN101B4585_Past","pink"
"58","GCKDGN101B4EVD_Past","pink"
"59","GCKDGN101B4KX1_Past","pink"
"60","GCKDGN101B5A3C_Past","pink"
"61","GCKDGN101B5ISR_Past","pink"
"62","GCKDGN101B5YB6_Past","pink"
"63","GCKDGN101B5YBR_Past","pink"
"64","GCKDGN101B6PPE_Past","pink"
"65","GCKDGN101B8E83_Past","pink"
"66","GCKDGN101B8NWH_Past","pink"
"67","GCKDGN101BB7VF_Past","pink"
"68","GCKDGN101BB9P4_Past","pink"
"69","GCKDGN101BC3US_Past","pink"
"70","GCKDGN101BCVR8_Past","pink"
"71","GCKDGN101BD5QO_Past","pink"
"72","GCKDGN101BDM2I_Past","pink"
"73","GCKDGN101BDNLQ_Past","pink"
"74","GCKDGN101BE8MK_Past","pink"
"75","GCKDGN101BEG10_Past","pink"
"76","GCKDGN101BEKMI_Past","pink"
"77","GCKDGN101BFGBA_Past","pink"
"78","GCKDGN101BFMY3_Past","pink"
"79","GCKDGN101BGYFZ_Past","pink"
"80","GCKDGN101BHCXG_Past","pink"
"81","GCKDGN101BHD8A_Past","pink"
"82","GCKDGN101BIU6Q_Past","pink"
"83","GCKDGN101BKDXG_Past","pink"
"84","GCKDGN101BKYV3_Past","pink"
