"","GO","term","ontology","n","GOMF","GOBP","GOCC"
"1","GO:0016021","integral component of membrane","CC",48,NA,NA,NA
"2","GO:0005737","cytoplasm","CC",45,NA,NA,NA
"3","GO:0005634","nucleus","CC",36,NA,NA,NA
"4","GO:0005829","cytosol","CC",32,NA,NA,NA
"5","GO:0005886","plasma membrane","CC",25,NA,NA,NA
"6","GO:0046872","metal ion binding","MF",24,NA,NA,NA
"7","GO:0016020","membrane","CC",19,NA,NA,NA
"8","GO:0005524","ATP binding","MF",18,NA,NA,NA
"9","GO:0005654","nucleoplasm","CC",13,NA,NA,NA
"10","GO:0005509","calcium ion binding","MF",11,NA,NA,NA
"11","GO:0070062","extracellular exosome","CC",11,NA,NA,NA
"12","GO:0005789","endoplasmic reticulum membrane","CC",10,NA,NA,NA
"13","GO:0030424","axon","CC",10,NA,NA,NA
"14","GO:0003723","RNA binding","MF",9,NA,NA,NA
"15","GO:0005783","endoplasmic reticulum","CC",9,NA,NA,NA
"16","GO:0005887","integral component of plasma membrane","CC",9,NA,NA,NA
"17","GO:0005794","Golgi apparatus","CC",8,NA,NA,NA
"18","GO:0009986","cell surface","CC",8,NA,NA,NA
"19","GO:0042802","identical protein binding","MF",8,NA,NA,NA
"20","GO:0045944","positive regulation of transcription by RNA polymerase II","BP",8,NA,NA,NA
"21","GO:0000398","mRNA splicing, via spliceosome","BP",7,NA,NA,NA
"22","GO:0005743","mitochondrial inner membrane","CC",7,NA,NA,NA
"23","GO:0005764","lysosome","CC",7,NA,NA,NA
"24","GO:0005768","endosome","CC",7,NA,NA,NA
"25","GO:0003729","mRNA binding","MF",6,NA,NA,NA
"26","GO:0005576","extracellular region","CC",6,NA,NA,NA
"27","GO:0005856","cytoskeleton","CC",6,NA,NA,NA
"28","GO:0006915","apoptotic process","BP",6,NA,NA,NA
"29","GO:0007165","signal transduction","BP",6,NA,NA,NA
"30","GO:0008017","microtubule binding","MF",6,NA,NA,NA
"31","GO:0010628","positive regulation of gene expression","BP",6,NA,NA,NA
"32","GO:0016607","nuclear speck","CC",6,NA,NA,NA
"33","GO:0030425","dendrite","CC",6,NA,NA,NA
"34","GO:0032991","protein-containing complex","CC",6,NA,NA,NA
"35","GO:0048471","perinuclear region of cytoplasm","CC",6,NA,NA,NA
"36","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF",5,NA,NA,NA
"37","GO:0003676","nucleic acid binding","MF",5,NA,NA,NA
"38","GO:0003677","DNA binding","MF",5,NA,NA,NA
"39","GO:0004674","protein serine/threonine kinase activity","MF",5,NA,NA,NA
"40","GO:0005525","GTP binding","MF",5,NA,NA,NA
"41","GO:0005615","extracellular space","CC",5,NA,NA,NA
"42","GO:0005912","adherens junction","CC",5,NA,NA,NA
"43","GO:0006954","inflammatory response","BP",5,NA,NA,NA
"44","GO:0015074","DNA integration","BP",5,NA,NA,NA
"45","GO:0016323","basolateral plasma membrane","CC",5,NA,NA,NA
"46","GO:0016324","apical plasma membrane","CC",5,NA,NA,NA
"47","GO:0030027","lamellipodium","CC",5,NA,NA,NA
"48","GO:0030154","cell differentiation","BP",5,NA,NA,NA
"49","GO:0031901","early endosome membrane","CC",5,NA,NA,NA
"50","GO:0035556","intracellular signal transduction","BP",5,NA,NA,NA
"51","GO:0042803","protein homodimerization activity","MF",5,NA,NA,NA
"52","GO:0045202","synapse","CC",5,NA,NA,NA
"53","GO:0046982","protein heterodimerization activity","MF",5,NA,NA,NA
"54","GO:0098978","glutamatergic synapse","CC",5,NA,NA,NA
"55","GO:0000139","Golgi membrane","CC",4,NA,NA,NA
"56","GO:0003724","RNA helicase activity","MF",4,NA,NA,NA
"57","GO:0003924","GTPase activity","MF",4,NA,NA,NA
"58","GO:0005085","guanyl-nucleotide exchange factor activity","MF",4,NA,NA,NA
"59","GO:0006357","regulation of transcription by RNA polymerase II","BP",4,NA,NA,NA
"60","GO:0006468","protein phosphorylation","BP",4,NA,NA,NA
"61","GO:0006886","intracellular protein transport","BP",4,NA,NA,NA
"62","GO:0006897","endocytosis","BP",4,NA,NA,NA
"63","GO:0007155","cell adhesion","BP",4,NA,NA,NA
"64","GO:0008270","zinc ion binding","MF",4,NA,NA,NA
"65","GO:0008283","cell population proliferation","BP",4,NA,NA,NA
"66","GO:0010008","endosome membrane","CC",4,NA,NA,NA
"67","GO:0030198","extracellular matrix organization","BP",4,NA,NA,NA
"68","GO:0030659","cytoplasmic vesicle membrane","CC",4,NA,NA,NA
"69","GO:0035904","aorta development","BP",4,NA,NA,NA
"70","GO:0045296","cadherin binding","MF",4,NA,NA,NA
"71","GO:0051015","actin filament binding","MF",4,NA,NA,NA
"72","GO:0061630","ubiquitin protein ligase activity","MF",4,NA,NA,NA
"73","GO:0106310",NA,NA,4,NA,NA,NA
"74","GO:0106311",NA,NA,4,NA,NA,NA
"75","GO:0000122","negative regulation of transcription by RNA polymerase II","BP",3,NA,NA,NA
"76","GO:0000209","protein polyubiquitination","BP",3,NA,NA,NA
"77","GO:0000932","P-body","CC",3,NA,NA,NA
"78","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","MF",3,NA,NA,NA
"79","GO:0003713","transcription coactivator activity","MF",3,NA,NA,NA
"80","GO:0003743","translation initiation factor activity","MF",3,NA,NA,NA
"81","GO:0005096","GTPase activator activity","MF",3,NA,NA,NA
"82","GO:0005200","structural constituent of cytoskeleton","MF",3,NA,NA,NA
"83","GO:0005635","nuclear envelope","CC",3,NA,NA,NA
"84","GO:0005739","mitochondrion","CC",3,NA,NA,NA
"85","GO:0005769","early endosome","CC",3,NA,NA,NA
"86","GO:0005802","trans-Golgi network","CC",3,NA,NA,NA
"87","GO:0005923","bicellular tight junction","CC",3,NA,NA,NA
"88","GO:0005929","cilium","CC",3,NA,NA,NA
"89","GO:0006310","DNA recombination","BP",3,NA,NA,NA
"90","GO:0006508","proteolysis","BP",3,NA,NA,NA
"91","GO:0007050","cell cycle arrest","BP",3,NA,NA,NA
"92","GO:0007399","nervous system development","BP",3,NA,NA,NA
"93","GO:0007411","axon guidance","BP",3,NA,NA,NA
"94","GO:0007420","brain development","BP",3,NA,NA,NA
"95","GO:0007507","heart development","BP",3,NA,NA,NA
"96","GO:0008233","peptidase activity","MF",3,NA,NA,NA
"97","GO:0008285","negative regulation of cell population proliferation","BP",3,NA,NA,NA
"98","GO:0009925","basal plasma membrane","CC",3,NA,NA,NA
"99","GO:0010468","regulation of gene expression","BP",3,NA,NA,NA
"100","GO:0014069","postsynaptic density","CC",3,NA,NA,NA
"101","GO:0015031","protein transport","BP",3,NA,NA,NA
"102","GO:0016055","Wnt signaling pathway","BP",3,NA,NA,NA
"103","GO:0016477","cell migration","BP",3,NA,NA,NA
"104","GO:0019899","enzyme binding","MF",3,NA,NA,NA
"105","GO:0030018","Z disc","CC",3,NA,NA,NA
"106","GO:0031267","small GTPase binding","MF",3,NA,NA,NA
