"","GO","term","ontology","n","GOMF","GOBP","GOCC"
"1","GO:0005737","cytoplasm","CC",13,NA,NA,NA
"2","GO:0016021","integral component of membrane","CC",13,NA,NA,NA
"3","GO:0046872","metal ion binding","MF",11,NA,NA,NA
"4","GO:0005576","extracellular region","CC",10,NA,NA,NA
"5","GO:0005886","plasma membrane","CC",10,NA,NA,NA
"6","GO:0005509","calcium ion binding","MF",8,NA,NA,NA
"7","GO:0005615","extracellular space","CC",8,NA,NA,NA
"8","GO:0005829","cytosol","CC",6,NA,NA,NA
"9","GO:0016020","membrane","CC",6,NA,NA,NA
"10","GO:0005634","nucleus","CC",5,NA,NA,NA
"11","GO:0030198","extracellular matrix organization","BP",5,NA,NA,NA
"12","GO:0062023","collagen-containing extracellular matrix","CC",5,NA,NA,NA
"13","GO:0003779","actin binding","MF",4,NA,NA,NA
"14","GO:0005524","ATP binding","MF",4,NA,NA,NA
"15","GO:0005769","early endosome","CC",4,NA,NA,NA
"16","GO:0005856","cytoskeleton","CC",4,NA,NA,NA
"17","GO:0030199","collagen fibril organization","BP",4,NA,NA,NA
"18","GO:0003723","RNA binding","MF",3,NA,NA,NA
"19","GO:0005604","basement membrane","CC",3,NA,NA,NA
"20","GO:0005654","nucleoplasm","CC",3,NA,NA,NA
"21","GO:0005925","focal adhesion","CC",3,NA,NA,NA
"22","GO:0007411","axon guidance","BP",3,NA,NA,NA
"23","GO:0008017","microtubule binding","MF",3,NA,NA,NA
"24","GO:0031012","extracellular matrix","CC",3,NA,NA,NA
"25","GO:0031410","cytoplasmic vesicle","CC",3,NA,NA,NA
"26","GO:0042802","identical protein binding","MF",3,NA,NA,NA
"27","GO:0042803","protein homodimerization activity","MF",3,NA,NA,NA
"28","GO:0045104","intermediate filament cytoskeleton organization","BP",3,NA,NA,NA
"29","GO:0055072","iron ion homeostasis","BP",3,NA,NA,NA
"30","GO:0070062","extracellular exosome","CC",3,NA,NA,NA
"31","GO:0001525","angiogenesis","BP",2,NA,NA,NA
"32","GO:0002040","sprouting angiogenesis","BP",2,NA,NA,NA
"33","GO:0003677","DNA binding","MF",2,NA,NA,NA
"34","GO:0003735","structural constituent of ribosome","MF",2,NA,NA,NA
"35","GO:0004672","protein kinase activity","MF",2,NA,NA,NA
"36","GO:0005085","guanyl-nucleotide exchange factor activity","MF",2,NA,NA,NA
"37","GO:0005096","GTPase activator activity","MF",2,NA,NA,NA
"38","GO:0005635","nuclear envelope","CC",2,NA,NA,NA
"39","GO:0005783","endoplasmic reticulum","CC",2,NA,NA,NA
"40","GO:0005887","integral component of plasma membrane","CC",2,NA,NA,NA
"41","GO:0005911","cell-cell junction","CC",2,NA,NA,NA
"42","GO:0006511","ubiquitin-dependent protein catabolic process","BP",2,NA,NA,NA
"43","GO:0006914","autophagy","BP",2,NA,NA,NA
"44","GO:0006936","muscle contraction","BP",2,NA,NA,NA
"45","GO:0006955","immune response","BP",2,NA,NA,NA
"46","GO:0006979","response to oxidative stress","BP",2,NA,NA,NA
"47","GO:0007154","cell communication","BP",2,NA,NA,NA
"48","GO:0007155","cell adhesion","BP",2,NA,NA,NA
"49","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","BP",2,NA,NA,NA
"50","GO:0007275","multicellular organism development","BP",2,NA,NA,NA
"51","GO:0007420","brain development","BP",2,NA,NA,NA
"52","GO:0008022","protein C-terminus binding","MF",2,NA,NA,NA
"53","GO:0009925","basal plasma membrane","CC",2,NA,NA,NA
"54","GO:0009986","cell surface","CC",2,NA,NA,NA
"55","GO:0022625","cytosolic large ribosomal subunit","CC",2,NA,NA,NA
"56","GO:0031430","M band","CC",2,NA,NA,NA
"57","GO:0042995","cell projection","CC",2,NA,NA,NA
"58","GO:0043022","ribosome binding","MF",2,NA,NA,NA
"59","GO:0043231","intracellular membrane-bounded organelle","CC",2,NA,NA,NA
"60","GO:0043547","positive regulation of GTPase activity","BP",2,NA,NA,NA
"61","GO:0045121","membrane raft","CC",2,NA,NA,NA
"62","GO:0045214","sarcomere organization","BP",2,NA,NA,NA
"63","GO:0046983","protein dimerization activity","MF",2,NA,NA,NA
"64","GO:0051015","actin filament binding","MF",2,NA,NA,NA
"65","GO:0000139","Golgi membrane","CC",1,NA,NA,NA
"66","GO:0000209","protein polyubiquitination","BP",1,NA,NA,NA
"67","GO:0000226","microtubule cytoskeleton organization","BP",1,NA,NA,NA
"68","GO:0000932","P-body","CC",1,NA,NA,NA
"69","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF",1,NA,NA,NA
"70","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","MF",1,NA,NA,NA
"71","GO:0001618","virus receptor activity","MF",1,NA,NA,NA
"72","GO:0001657","ureteric bud development","BP",1,NA,NA,NA
"73","GO:0001666","response to hypoxia","BP",1,NA,NA,NA
"74","GO:0001764","neuron migration","BP",1,NA,NA,NA
"75","GO:0001822","kidney development","BP",1,NA,NA,NA
"76","GO:0001934","positive regulation of protein phosphorylation","BP",1,NA,NA,NA
"77","GO:0001938","positive regulation of endothelial cell proliferation","BP",1,NA,NA,NA
"78","GO:0003729","mRNA binding","MF",1,NA,NA,NA
"79","GO:0004222","metalloendopeptidase activity","MF",1,NA,NA,NA
