Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	145	145
OG0000001	121	121
OG0000002	121	121
OG0000003	110	110
OG0000004	66	66
OG0000005	58	58
OG0000006	51	51
OG0000007	43	43
OG0000008	41	41
OG0000009	35	35
OG0000010	39	39
OG0000011	37	37
OG0000012	34	34
OG0000013	29	29
OG0000014	30	30
OG0000015	32	32
OG0000016	28	28
OG0000017	28	28
OG0000018	30	30
OG0000019	29	29
OG0000020	25	25
OG0000021	25	25
OG0000022	24	24
OG0000023	22	22
OG0000024	23	23
OG0000025	21	21
OG0000026	21	21
OG0000027	21	21
OG0000028	18	18
OG0000029	20	20
OG0000030	20	20
OG0000031	19	19
OG0000032	18	18
OG0000033	19	19
OG0000034	19	19
OG0000035	14	14
OG0000036	17	17
OG0000037	16	16
OG0000038	14	14
OG0000039	15	15
OG0000040	15	15
OG0000041	14	14
OG0000042	16	16
OG0000043	13	13
OG0000044	14	14
OG0000045	14	14
OG0000046	15	15
OG0000047	12	12
OG0000048	15	15
OG0000049	13	13
OG0000050	13	13
OG0000051	13	13
OG0000052	14	14
OG0000053	13	13
OG0000054	14	14
OG0000055	13	13
OG0000056	11	11
OG0000057	12	12
OG0000058	13	13
OG0000059	11	11
OG0000060	13	13
OG0000061	11	11
OG0000062	11	11
OG0000063	11	11
OG0000064	11	11
OG0000065	11	11
OG0000066	11	11
OG0000067	10	10
OG0000068	10	10
OG0000069	10	10
OG0000070	10	10
OG0000071	10	10
OG0000072	10	10
OG0000073	10	10
OG0000074	9	9
OG0000075	9	9
OG0000076	10	10
OG0000077	10	10
OG0000078	10	10
OG0000079	10	10
OG0000080	9	9
OG0000081	9	9
OG0000082	7	7
OG0000083	9	9
OG0000084	9	9
OG0000085	8	8
OG0000086	9	9
OG0000087	9	9
OG0000088	6	6
OG0000089	9	9
OG0000090	9	9
OG0000091	9	9
OG0000092	8	8
OG0000093	7	7
OG0000094	6	6
OG0000095	8	8
OG0000096	7	7
OG0000097	7	7
OG0000098	7	7
OG0000099	8	8
OG0000100	5	5
OG0000101	7	7
OG0000102	7	7
OG0000103	7	7
OG0000104	8	8
OG0000105	8	8
OG0000106	8	8
OG0000107	8	8
OG0000108	8	8
OG0000109	8	8
OG0000110	7	7
OG0000111	7	7
OG0000112	4	4
OG0000113	7	7
OG0000114	7	7
OG0000115	7	7
OG0000116	6	6
OG0000117	7	7
OG0000118	7	7
OG0000119	6	6
OG0000120	6	6
OG0000121	6	6
OG0000122	6	6
OG0000123	7	7
OG0000124	7	7
