Orthogroup	10714_past_LongestContig_500ln_suffixed	19222_Sid_GoodCoral_500lnThresh_Final	Total
OG0000000	1	173	174
OG0000001	4	125	129
OG0000002	2	124	126
OG0000003	3	111	114
OG0000004	1	80	81
OG0000005	4	63	67
OG0000006	6	39	45
OG0000007	0	44	44
OG0000008	7	30	37
OG0000009	0	37	37
OG0000010	33	3	36
OG0000011	1	35	36
OG0000012	1	33	34
OG0000013	0	33	33
OG0000014	2	29	31
OG0000015	2	29	31
OG0000016	1	27	28
OG0000017	0	28	28
OG0000018	0	27	27
OG0000019	0	26	26
OG0000020	21	2	23
OG0000021	1	22	23
OG0000022	1	21	22
OG0000023	0	22	22
OG0000024	0	22	22
OG0000025	0	20	20
OG0000026	1	18	19
OG0000027	18	0	18
OG0000028	1	17	18
OG0000029	1	16	17
OG0000030	2	15	17
OG0000031	1	16	17
OG0000032	0	17	17
OG0000033	1	14	15
OG0000034	1	14	15
OG0000035	1	14	15
OG0000036	0	15	15
OG0000037	0	15	15
OG0000038	0	15	15
OG0000039	0	15	15
OG0000040	14	0	14
OG0000041	1	13	14
OG0000042	0	14	14
OG0000043	0	14	14
OG0000044	2	11	13
OG0000045	1	12	13
OG0000046	1	12	13
OG0000047	12	0	12
OG0000048	12	0	12
OG0000049	12	0	12
OG0000050	0	12	12
OG0000051	0	12	12
OG0000052	0	12	12
OG0000053	9	2	11
OG0000054	1	10	11
OG0000055	2	9	11
OG0000056	0	11	11
OG0000057	0	11	11
OG0000058	0	11	11
OG0000059	0	11	11
OG0000060	0	11	11
OG0000061	10	0	10
OG0000062	10	0	10
OG0000063	4	6	10
OG0000064	10	0	10
OG0000065	10	0	10
OG0000066	1	9	10
OG0000067	9	1	10
OG0000068	1	9	10
OG0000069	1	9	10
OG0000070	1	9	10
OG0000071	0	10	10
OG0000072	0	10	10
OG0000073	0	10	10
OG0000074	0	10	10
OG0000075	0	10	10
OG0000076	0	10	10
OG0000077	9	0	9
OG0000078	9	0	9
OG0000079	9	0	9
OG0000080	1	8	9
OG0000081	1	8	9
