Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	283	257
OG0000001	56	56
OG0000002	23	23
OG0000003	18	18
OG0000004	18	18
OG0000005	17	17
OG0000006	17	17
OG0000007	17	17
OG0000008	16	16
OG0000009	16	16
OG0000010	15	15
OG0000011	15	15
OG0000012	11	10
OG0000013	14	14
OG0000014	7	7
OG0000015	7	7
OG0000016	13	13
OG0000017	13	13
OG0000018	13	13
OG0000019	13	13
OG0000020	12	12
OG0000021	7	7
OG0000022	11	11
OG0000023	11	11
OG0000024	12	12
OG0000025	12	12
OG0000026	12	12
OG0000027	12	12
OG0000028	12	12
OG0000029	8	8
OG0000030	12	12
OG0000031	12	12
OG0000032	12	12
OG0000033	11	11
OG0000034	11	11
OG0000035	11	11
OG0000036	7	4
OG0000037	11	11
OG0000038	11	11
OG0000039	10	10
OG0000040	10	10
OG0000041	9	9
OG0000042	10	10
OG0000043	10	10
OG0000044	6	6
OG0000045	10	10
OG0000046	6	6
OG0000047	10	10
OG0000048	10	10
OG0000049	10	10
OG0000050	10	10
OG0000051	8	8
OG0000052	9	9
OG0000053	9	9
OG0000054	10	10
OG0000055	10	10
OG0000056	10	10
OG0000057	10	10
OG0000058	9	9
OG0000059	9	9
OG0000060	9	9
OG0000061	9	9
OG0000062	9	9
OG0000063	9	9
OG0000064	9	9
OG0000065	9	9
OG0000066	5	5
OG0000067	9	9
OG0000068	7	7
OG0000069	9	9
OG0000070	4	4
OG0000071	6	5
OG0000072	6	6
OG0000073	5	5
OG0000074	7	7
OG0000075	9	9
OG0000076	9	9
OG0000077	9	9
OG0000078	9	9
OG0000079	9	9
OG0000080	9	9
OG0000081	8	8
OG0000082	8	8
OG0000083	8	8
OG0000084	5	4
OG0000085	8	8
OG0000086	8	8
OG0000087	8	8
OG0000088	8	8
OG0000089	8	8
OG0000090	8	8
OG0000091	8	8
OG0000092	6	6
OG0000093	8	8
OG0000094	8	8
OG0000095	5	5
OG0000096	4	4
OG0000097	8	8
OG0000098	8	8
OG0000099	6	6
OG0000100	7	7
OG0000101	5	4
OG0000102	8	8
OG0000103	4	4
OG0000104	8	8
OG0000105	8	8
OG0000106	8	8
OG0000107	8	8
OG0000108	8	8
OG0000109	8	8
OG0000110	7	7
OG0000111	7	7
OG0000112	5	5
OG0000113	7	7
OG0000114	7	7
OG0000115	7	7
