	36345_Symbiodinium_microadriaticum_A1_CassKB8_500ln	47262_Davies_Cladocopium_LongestContig-500_renamed	52508_Breviolum_Sid-radians_Avila-Medina_500lnThresh_LongestIso_renamed
Number of genes	36345	47262	52508
Number of genes in orthogroups	8972	12140	31968
Number of unassigned genes	27373	35122	20540
Percentage of genes in orthogroups	24.7	25.7	60.9
Percentage of unassigned genes	75.3	74.3	39.1
Number of orthogroups containing species	4421	11892	18939
Percentage of orthogroups containing species	20.5	55.2	88.0
Number of species-specific orthogroups	1704	0	7058
Number of genes in species-specific orthogroups	5274	0	16070
Percentage of genes in species-specific orthogroups	14.5	0.0	30.6


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	17106	9635	2588
'1	2359	11669	8490
'2	1211	204	8757
'3	417	15	1245
'4	164	3	258
'5	97	0	95
'6	52	1	43
'7	38	0	18
'8	20	0	9
'9	15	0	6
'10	12	0	8
11-15	25	0	9
16-20	8	0	1
21-50	1	0	0
51-100	1	0	0
101-150	0	0	0
151-200	0	0	0
201-500	1	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	79.5	44.8	12.0
'1	11.0	54.2	39.4
'2	5.6	0.9	40.7
'3	1.9	0.1	5.8
'4	0.8	0.0	1.2
'5	0.5	0.0	0.4
'6	0.2	0.0	0.2
'7	0.2	0.0	0.1
'8	0.1	0.0	0.0
'9	0.1	0.0	0.0
'10	0.1	0.0	0.0
11-15	0.1	0.0	0.0
16-20	0.0	0.0	0.0
21-50	0.0	0.0	0.0
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes
'0	0	0	0
'1	2359	11669	8490
'2	2422	408	17514
'3	1251	45	3735
'4	656	12	1032
'5	485	0	475
'6	312	6	258
'7	266	0	126
'8	160	0	72
'9	135	0	54
'10	120	0	80
11-15	302	0	113
16-20	139	0	19
21-50	24	0	0
51-100	57	0	0
101-150	0	0	0
151-200	0	0	0
201-500	284	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0
'1	6.5	24.7	16.2
'2	6.7	0.9	33.4
'3	3.4	0.1	7.1
'4	1.8	0.0	2.0
'5	1.3	0.0	0.9
'6	0.9	0.0	0.5
'7	0.7	0.0	0.2
'8	0.4	0.0	0.1
'9	0.4	0.0	0.1
'10	0.3	0.0	0.2
11-15	0.8	0.0	0.2
16-20	0.4	0.0	0.0
21-50	0.1	0.0	0.0
51-100	0.2	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.8	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0
