Orthogroup	36345_Symbiodinium_microadriaticum_A1_CassKB8_500ln	47262_Davies_Cladocopium_LongestContig-500_renamed	52508_Breviolum_Sid-radians_Avila-Medina_500lnThresh_LongestIso_renamed	Total
OG0000000	284	6	2	292
OG0000001	57	0	0	57
OG0000002	24	0	0	24
OG0000003	19	0	0	19
OG0000004	0	0	19	19
OG0000005	18	0	0	18
OG0000006	18	0	0	18
OG0000007	18	0	0	18
OG0000008	17	0	0	17
OG0000009	17	0	0	17
OG0000010	16	0	0	16
OG0000011	16	0	0	16
OG0000012	12	2	2	16
OG0000013	0	0	15	15
OG0000014	7	4	3	14
OG0000015	7	3	4	14
OG0000016	14	0	0	14
OG0000017	14	0	0	14
OG0000018	0	0	14	14
OG0000019	0	0	14	14
OG0000020	13	0	0	13
OG0000021	5	2	6	13
OG0000022	10	0	3	13
OG0000023	12	0	1	13
OG0000024	13	0	0	13
OG0000025	13	0	0	13
OG0000026	13	0	0	13
OG0000027	13	0	0	13
OG0000028	13	0	0	13
OG0000029	4	3	6	13
OG0000030	13	0	0	13
OG0000031	0	0	13	13
OG0000032	0	0	13	13
OG0000033	12	0	0	12
OG0000034	12	0	0	12
OG0000035	12	0	0	12
OG0000036	7	2	3	12
OG0000037	12	0	0	12
OG0000038	12	0	0	12
OG0000039	11	0	1	12
OG0000040	11	0	0	11
OG0000041	10	1	0	11
OG0000042	11	0	0	11
OG0000043	11	0	0	11
OG0000044	7	1	3	11
OG0000045	11	0	0	11
OG0000046	7	2	2	11
OG0000047	11	0	0	11
OG0000048	11	0	0	11
OG0000049	11	0	0	11
OG0000050	11	0	0	11
OG0000051	8	0	3	11
OG0000052	0	1	10	11
OG0000053	0	1	10	11
OG0000054	0	0	11	11
OG0000055	0	0	11	11
OG0000056	0	0	11	11
OG0000057	0	0	11	11
OG0000058	10	0	0	10
OG0000059	10	0	0	10
OG0000060	10	0	0	10
OG0000061	10	0	0	10
OG0000062	10	0	0	10
OG0000063	10	0	0	10
OG0000064	10	0	0	10
OG0000065	10	0	0	10
OG0000066	5	2	3	10
OG0000067	10	0	0	10
OG0000068	8	1	1	10
OG0000069	10	0	0	10
OG0000070	5	3	2	10
OG0000071	5	3	2	10
OG0000072	4	4	2	10
OG0000073	2	2	6	10
OG0000074	0	2	8	10
OG0000075	0	0	10	10
OG0000076	0	0	10	10
OG0000077	0	0	10	10
OG0000078	0	0	10	10
OG0000079	0	0	10	10
OG0000080	0	0	10	10
OG0000081	9	0	0	9
OG0000082	9	0	0	9
OG0000083	9	0	0	9
OG0000084	5	0	4	9
OG0000085	9	0	0	9
OG0000086	9	0	0	9
OG0000087	9	0	0	9
OG0000088	9	0	0	9
OG0000089	9	0	0	9
OG0000090	9	0	0	9
OG0000091	9	0	0	9
OG0000092	7	1	1	9
OG0000093	9	0	0	9
OG0000094	9	0	0	9
OG0000095	5	1	3	9
OG0000096	2	2	5	9
OG0000097	9	0	0	9
OG0000098	9	0	0	9
OG0000099	7	1	1	9
OG0000100	8	0	1	9
OG0000101	5	2	2	9
OG0000102	9	0	0	9
OG0000103	4	3	2	9
OG0000104	0	0	9	9
OG0000105	0	0	9	9
OG0000106	0	0	9	9
OG0000107	0	0	9	9
OG0000108	0	0	9	9
OG0000109	0	0	9	9
OG0000110	8	0	0	8
OG0000111	8	0	0	8
OG0000112	6	0	2	8
OG0000113	8	0	0	8
OG0000114	8	0	0	8
OG0000115	8	0	0	8
OG0000116	5	1	2	8
OG0000117	3	3	2	8
OG0000118	8	0	0	8
OG0000119	4	2	2	8
OG0000120	8	0	0	8
OG0000121	8	0	0	8
OG0000122	8	0	0	8
OG0000123	1	2	5	8
OG0000124	5	1	2	8
OG0000125	8	0	0	8
OG0000126	8	0	0	8
OG0000127	8	0	0	8
OG0000128	8	0	0	8
OG0000129	8	0	0	8
OG0000130	8	0	0	8
OG0000131	4	1	3	8
OG0000132	6	1	1	8
OG0000133	3	1	4	8
OG0000134	5	1	2	8
OG0000135	7	1	0	8
OG0000136	8	0	0	8
OG0000137	8	0	0	8
OG0000138	0	1	7	8
OG0000139	0	1	7	8
OG0000140	0	0	8	8
OG0000141	0	0	8	8
OG0000142	0	0	8	8
OG0000143	0	0	8	8
OG0000144	0	0	8	8
OG0000145	0	0	8	8
OG0000146	0	0	8	8
OG0000147	0	0	8	8
OG0000148	6	1	0	7
OG0000149	7	0	0	7
OG0000150	7	0	0	7
OG0000151	5	0	2	7
OG0000152	5	1	1	7
OG0000153	7	0	0	7
OG0000154	7	0	0	7
OG0000155	7	0	0	7
OG0000156	7	0	0	7
OG0000157	7	0	0	7
OG0000158	7	0	0	7
OG0000159	7	0	0	7
OG0000160	7	0	0	7
OG0000161	6	1	0	7
OG0000162	6	1	0	7
OG0000163	7	0	0	7
OG0000164	6	1	0	7
OG0000165	7	0	0	7
OG0000166	6	0	1	7
OG0000167	7	0	0	7
OG0000168	7	0	0	7
OG0000169	7	0	0	7
OG0000170	7	0	0	7
OG0000171	6	0	1	7
OG0000172	3	2	2	7
OG0000173	3	2	2	7
OG0000174	3	2	2	7
OG0000175	6	0	1	7
OG0000176	7	0	0	7
OG0000177	7	0	0	7
OG0000178	6	1	0	7
OG0000179	7	0	0	7
OG0000180	7	0	0	7
OG0000181	2	1	4	7
OG0000182	4	1	2	7
OG0000183	7	0	0	7
OG0000184	7	0	0	7
OG0000185	7	0	0	7
OG0000186	3	2	2	7
OG0000187	3	2	2	7
OG0000188	4	1	2	7
OG0000189	7	0	0	7
OG0000190	7	0	0	7
OG0000191	6	1	0	7
OG0000192	7	0	0	7
OG0000193	5	2	0	7
OG0000194	7	0	0	7
OG0000195	7	0	0	7
OG0000196	5	0	2	7
OG0000197	7	0	0	7
OG0000198	3	1	3	7
OG0000199	6	0	1	7
OG0000200	4	1	2	7
OG0000201	3	1	3	7
OG0000202	7	0	0	7
OG0000203	0	1	6	7
OG0000204	0	1	6	7
OG0000205	0	1	6	7
OG0000206	0	1	6	7
OG0000207	0	1	6	7
OG0000208	0	0	7	7
OG0000209	0	0	7	7
OG0000210	0	0	7	7
OG0000211	0	0	7	7
OG0000212	0	0	7	7
OG0000213	0	0	7	7
OG0000214	0	0	7	7
OG0000215	0	0	7	7
OG0000216	0	0	7	7
OG0000217	0	0	7	7
OG0000218	0	0	7	7
OG0000219	0	0	7	7
OG0000220	0	0	7	7
OG0000221	0	0	7	7
OG0000222	0	0	7	7
OG0000223	0	0	7	7
OG0000224	6	0	0	6
OG0000225	3	2	1	6
OG0000226	6	0	0	6
OG0000227	3	2	1	6
OG0000228	2	3	1	6
OG0000229	6	0	0	6
OG0000230	2	1	3	6
OG0000231	6	0	0	6
OG0000232	6	0	0	6
OG0000233	4	0	2	6
OG0000234	6	0	0	6
OG0000235	6	0	0	6
OG0000236	6	0	0	6
OG0000237	5	1	0	6
OG0000238	6	0	0	6
OG0000239	6	0	0	6
OG0000240	6	0	0	6
OG0000241	2	3	1	6
OG0000242	6	0	0	6
OG0000243	6	0	0	6
OG0000244	6	0	0	6
OG0000245	6	0	0	6
OG0000246	6	0	0	6
OG0000247	3	2	1	6
OG0000248	1	0	5	6
OG0000249	6	0	0	6
OG0000250	6	0	0	6
OG0000251	6	0	0	6
OG0000252	6	0	0	6
OG0000253	2	2	2	6
OG0000254	6	0	0	6
OG0000255	2	2	2	6
OG0000256	6	0	0	6
OG0000257	6	0	0	6
OG0000258	6	0	0	6
OG0000259	3	1	2	6
OG0000260	4	1	1	6
OG0000261	5	1	0	6
OG0000262	6	0	0	6
OG0000263	6	0	0	6
OG0000264	6	0	0	6
OG0000265	1	3	2	6
OG0000266	6	0	0	6
OG0000267	3	1	2	6
OG0000268	6	0	0	6
OG0000269	6	0	0	6
OG0000270	5	1	0	6
OG0000271	3	1	2	6
OG0000272	6	0	0	6
OG0000273	6	0	0	6
OG0000274	1	2	3	6
OG0000275	6	0	0	6
OG0000276	5	0	1	6
OG0000277	2	1	3	6
OG0000278	6	0	0	6
OG0000279	4	1	1	6
OG0000280	1	2	3	6
OG0000281	1	2	3	6
OG0000282	4	1	1	6
OG0000283	2	3	1	6
OG0000284	6	0	0	6
OG0000285	3	1	2	6
OG0000286	6	0	0	6
OG0000287	3	0	3	6
OG0000288	2	1	3	6
OG0000289	1	1	4	6
OG0000290	6	0	0	6
OG0000291	4	1	1	6
OG0000292	6	0	0	6
OG0000293	6	0	0	6
OG0000294	6	0	0	6
OG0000295	3	1	2	6
OG0000296	3	1	2	6
OG0000297	3	1	2	6
OG0000298	1	1	4	6
OG0000299	1	4	1	6
OG0000300	2	2	2	6
OG0000301	1	3	2	6
OG0000302	1	2	3	6
OG0000303	1	3	2	6
OG0000304	1	2	3	6
