"","gene","module"
"1","Smic_CassKB8.gene105.mRNA1_Sym","cyan"
"2","Smic_CassKB8.gene10669.mRNA1_Sym","cyan"
"3","Smic_CassKB8.gene10904.mRNA1_Sym","cyan"
"4","Smic_CassKB8.gene11367.mRNA1_Sym","cyan"
"5","Smic_CassKB8.gene11401.mRNA1_Sym","cyan"
"6","Smic_CassKB8.gene11435.mRNA1_Sym","cyan"
"7","Smic_CassKB8.gene11459.mRNA1_Sym","cyan"
"8","Smic_CassKB8.gene11610.mRNA1_Sym","cyan"
"9","Smic_CassKB8.gene11797.mRNA1_Sym","cyan"
"10","Smic_CassKB8.gene11858.mRNA1_Sym","cyan"
"11","Smic_CassKB8.gene11897.mRNA1_Sym","cyan"
"12","Smic_CassKB8.gene11995.mRNA1_Sym","cyan"
"13","Smic_CassKB8.gene12078.mRNA1_Sym","cyan"
"14","Smic_CassKB8.gene12276.mRNA1_Sym","cyan"
"15","Smic_CassKB8.gene1264.mRNA1_Sym","cyan"
"16","Smic_CassKB8.gene1279.mRNA1_Sym","cyan"
"17","Smic_CassKB8.gene1300.mRNA1_Sym","cyan"
"18","Smic_CassKB8.gene1352.mRNA1_Sym","cyan"
"19","Smic_CassKB8.gene13678.mRNA1_Sym","cyan"
"20","Smic_CassKB8.gene13761.mRNA1_Sym","cyan"
"21","Smic_CassKB8.gene13884.mRNA1_Sym","cyan"
"22","Smic_CassKB8.gene13976.mRNA1_Sym","cyan"
"23","Smic_CassKB8.gene14122.mRNA1_Sym","cyan"
"24","Smic_CassKB8.gene14153.mRNA1_Sym","cyan"
"25","Smic_CassKB8.gene14187.mRNA1_Sym","cyan"
"26","Smic_CassKB8.gene14372.mRNA1_Sym","cyan"
"27","Smic_CassKB8.gene1456.mRNA1_Sym","cyan"
"28","Smic_CassKB8.gene14799.mRNA1_Sym","cyan"
"29","Smic_CassKB8.gene14817.mRNA1_Sym","cyan"
"30","Smic_CassKB8.gene14936.mRNA1_Sym","cyan"
"31","Smic_CassKB8.gene1503.mRNA1_Sym","cyan"
"32","Smic_CassKB8.gene15048.mRNA1_Sym","cyan"
"33","Smic_CassKB8.gene15345.mRNA1_Sym","cyan"
"34","Smic_CassKB8.gene1605.mRNA1_Sym","cyan"
"35","Smic_CassKB8.gene16515.mRNA1_Sym","cyan"
"36","Smic_CassKB8.gene16567.mRNA1_Sym","cyan"
"37","Smic_CassKB8.gene17207.mRNA1_Sym","cyan"
"38","Smic_CassKB8.gene17533.mRNA1_Sym","cyan"
"39","Smic_CassKB8.gene17866.mRNA1_Sym","cyan"
"40","Smic_CassKB8.gene17990.mRNA1_Sym","cyan"
"41","Smic_CassKB8.gene18106.mRNA1_Sym","cyan"
"42","Smic_CassKB8.gene18205.mRNA1_Sym","cyan"
"43","Smic_CassKB8.gene18601.mRNA1_Sym","cyan"
