"","DEG","up.results_OO_LO_padj.1","down.results_OO_LO_padj.1"
"1","Down",NA,"Smic_CassKB8.gene1429.mRNA1_Sym"
"2","Down",NA,"Smic_CassKB8.gene2388.mRNA1_Sym"
"3","Down",NA,"Smic_CassKB8.gene31295.mRNA1_Sym"
"4","Up","Smic_CassKB8.gene11610.mRNA1_Sym",NA
"5","Up","Smic_CassKB8.gene11797.mRNA1_Sym",NA
"6","Up","Smic_CassKB8.gene12276.mRNA1_Sym",NA
"7","Up","Smic_CassKB8.gene1300.mRNA1_Sym",NA
"8","Up","Smic_CassKB8.gene14187.mRNA1_Sym",NA
"9","Up","Smic_CassKB8.gene14372.mRNA1_Sym",NA
"10","Up","Smic_CassKB8.gene15722.mRNA1_Sym",NA
"11","Up","Smic_CassKB8.gene18841.mRNA1_Sym",NA
"12","Up","Smic_CassKB8.gene2150.mRNA1_Sym",NA
"13","Up","Smic_CassKB8.gene2305.mRNA1_Sym",NA
"14","Up","Smic_CassKB8.gene24053.mRNA1_Sym",NA
"15","Up","Smic_CassKB8.gene24202.mRNA1_Sym",NA
"16","Up","Smic_CassKB8.gene24655.mRNA1_Sym",NA
"17","Up","Smic_CassKB8.gene24770.mRNA1_Sym",NA
"18","Up","Smic_CassKB8.gene24819.mRNA1_Sym",NA
"19","Up","Smic_CassKB8.gene2644.mRNA1_Sym",NA
"20","Up","Smic_CassKB8.gene26866.mRNA1_Sym",NA
"21","Up","Smic_CassKB8.gene28338.mRNA1_Sym",NA
"22","Up","Smic_CassKB8.gene28505.mRNA1_Sym",NA
"23","Up","Smic_CassKB8.gene29396.mRNA1_Sym",NA
"24","Up","Smic_CassKB8.gene29985.mRNA1_Sym",NA
"25","Up","Smic_CassKB8.gene32359.mRNA1_Sym",NA
"26","Up","Smic_CassKB8.gene4139.mRNA1_Sym",NA
"27","Up","Smic_CassKB8.gene4923.mRNA1_Sym",NA
"28","Up","Smic_CassKB8.gene5767.mRNA1_Sym",NA
"29","Up","Smic_CassKB8.gene6714.mRNA1_Sym",NA
"30","Up","Smic_CassKB8.gene8617.mRNA1_Sym",NA
"31","Up","Smic_CassKB8.gene997.mRNA1_Sym",NA
