"","DEG","up.results_OO_OC_padj.1","down.results_OO_OC_padj.1"
"1","Down",NA,"Smic_CassKB8.gene11630.mRNA1_Sym"
"2","Down",NA,"Smic_CassKB8.gene11653.mRNA1_Sym"
"3","Down",NA,"Smic_CassKB8.gene11843.mRNA1_Sym"
"4","Down",NA,"Smic_CassKB8.gene132.mRNA1_Sym"
"5","Down",NA,"Smic_CassKB8.gene1482.mRNA1_Sym"
"6","Down",NA,"Smic_CassKB8.gene14866.mRNA1_Sym"
"7","Down",NA,"Smic_CassKB8.gene14993.mRNA1_Sym"
"8","Down",NA,"Smic_CassKB8.gene15305.mRNA1_Sym"
"9","Down",NA,"Smic_CassKB8.gene15829.mRNA1_Sym"
"10","Down",NA,"Smic_CassKB8.gene1622.mRNA1_Sym"
"11","Down",NA,"Smic_CassKB8.gene1678.mRNA1_Sym"
"12","Down",NA,"Smic_CassKB8.gene17067.mRNA1_Sym"
"13","Down",NA,"Smic_CassKB8.gene17480.mRNA1_Sym"
"14","Down",NA,"Smic_CassKB8.gene17491.mRNA1_Sym"
"15","Down",NA,"Smic_CassKB8.gene18052.mRNA1_Sym"
"16","Down",NA,"Smic_CassKB8.gene18669.mRNA1_Sym"
"17","Down",NA,"Smic_CassKB8.gene18849.mRNA1_Sym"
"18","Down",NA,"Smic_CassKB8.gene19348.mRNA1_Sym"
"19","Down",NA,"Smic_CassKB8.gene20208.mRNA1_Sym"
"20","Down",NA,"Smic_CassKB8.gene20309.mRNA1_Sym"
"21","Down",NA,"Smic_CassKB8.gene20459.mRNA1_Sym"
"22","Down",NA,"Smic_CassKB8.gene20653.mRNA1_Sym"
"23","Down",NA,"Smic_CassKB8.gene20783.mRNA1_Sym"
"24","Down",NA,"Smic_CassKB8.gene22224.mRNA1_Sym"
"25","Down",NA,"Smic_CassKB8.gene22777.mRNA1_Sym"
"26","Down",NA,"Smic_CassKB8.gene22933.mRNA1_Sym"
"27","Down",NA,"Smic_CassKB8.gene23361.mRNA1_Sym"
"28","Down",NA,"Smic_CassKB8.gene2371.mRNA1_Sym"
"29","Down",NA,"Smic_CassKB8.gene23919.mRNA1_Sym"
"30","Down",NA,"Smic_CassKB8.gene25304.mRNA1_Sym"
"31","Down",NA,"Smic_CassKB8.gene28708.mRNA1_Sym"
"32","Down",NA,"Smic_CassKB8.gene324.mRNA1_Sym"
"33","Down",NA,"Smic_CassKB8.gene39056.mRNA1_Sym"
"34","Down",NA,"Smic_CassKB8.gene42062.mRNA1_Sym"
