"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Smic_CassKB8.gene14187.mRNA1_Sym",288.01385598642,9.34053355718084,1.09729675291276,8.51231312986801,1.70497400751264e-17,2.48073718093089e-14
"2","Smic_CassKB8.gene12276.mRNA1_Sym",405.655551475805,10.1693684088898,1.23487556138331,8.23513617639179,1.79353505350191e-16,1.30479675142264e-13
"3","Smic_CassKB8.gene24053.mRNA1_Sym",126.667794062911,8.18382749117154,1.0715592552741,7.63730745723266,2.21811386106401e-14,1.07578522261605e-11
"4","Smic_CassKB8.gene24770.mRNA1_Sym",53.2035823024981,8.32774338853866,1.24181712901509,6.7060947976644,1.9990188601208e-11,7.27143110368942e-09
"5","Smic_CassKB8.gene14372.mRNA1_Sym",29.2680965676454,5.22055426285795,0.808622614639227,6.45610717329139,1.07430541871156e-10,3.12622876845065e-08
"6","Smic_CassKB8.gene1300.mRNA1_Sym",37.6321227435006,5.68180897866382,0.980729413364417,5.79345220122666,6.89541166164312e-09,1.67213732794846e-06
"7","Smic_CassKB8.gene28505.mRNA1_Sym",810.003793791701,11.7300188752196,2.03662624812451,5.75953437014848,8.43462841686294e-09,1.7531977637908e-06
"8","Smic_CassKB8.gene2644.mRNA1_Sym",30.9844812141304,4.9870039707202,0.897775233539702,5.55484689754438,2.77855189652967e-08,5.05349126181333e-06
"9","Smic_CassKB8.gene2305.mRNA1_Sym",178.788305894356,4.26012282284384,0.785785208503529,5.42148512945024,5.91059146791576e-08,9.24080884169665e-06
"10","Smic_CassKB8.gene5767.mRNA1_Sym",8.9396477397294,4.02949414526098,0.745012769930292,5.40862426510891,6.35107136886368e-08,9.24080884169665e-06
"11","Smic_CassKB8.gene8241.mRNA1_Sym",8.53317616939352,5.65136105112317,1.09469179788719,5.16251337776584,2.43655955819096e-07,3.22290377924349e-05
"12","Smic_CassKB8.gene26866.mRNA1_Sym",19.4339688007855,5.11659456228073,0.997887492104441,5.12742629080394,2.93729920184781e-07,3.56147528224047e-05
"13","Smic_CassKB8.gene2150.mRNA1_Sym",18.2520813153627,5.93621862803011,1.17032282166272,5.07229160890525,3.93053458719768e-07,4.3991752495174e-05
"14","Smic_CassKB8.gene26556.mRNA1_Sym",18.1354103013958,5.51371433293206,1.09475287505232,5.03649221534909,4.74140383831046e-07,4.92176827778165e-05
"15","Smic_CassKB8.gene29396.mRNA1_Sym",38.8759935893279,8.94359543957607,1.78035365442796,5.02349374088247,5.07398791523881e-07,4.92176827778165e-05
"16","Smic_CassKB8.gene8617.mRNA1_Sym",26.6714579948741,7.07081337858187,1.50261220064861,4.70568079743376,2.53020152347358e-06,0.000230090201040878
"17","Smic_CassKB8.gene997.mRNA1_Sym",27.0489592442399,2.95526896848372,0.639009494235626,4.62476535191198,3.750227055316e-06,0.000320975315616752
"18","Smic_CassKB8.gene40330.mRNA1_Sym",17.1000463829043,6.51342278959522,1.54813248680545,4.20727737781381,2.58465818029584e-05,0.00208926536240581
"19","Smic_CassKB8.gene19186.mRNA1_Sym",31.7137033699083,1.71099861727237,0.408328455675305,4.19025074910017,2.78646353869611e-05,0.00213384444673834
"20","Smic_CassKB8.gene24202.mRNA1_Sym",10.9293513687681,3.88036152205731,0.929054019244997,4.17668019477567,2.95794435007156e-05,0.00215190451467706
"21","Smic_CassKB8.gene32359.mRNA1_Sym",14.5386308147477,2.61892605872838,0.65425058245077,4.00294035492959,6.25600781876777e-05,0.00433451970300338
"22","Smic_CassKB8.gene6714.mRNA1_Sym",10.0258261892928,3.8930291979515,1.0002170631371,3.89218434820673,9.93457097393099e-05,0.00657036398503164
"23","Smic_CassKB8.gene24655.mRNA1_Sym",15.4488076923578,4.4882475884584,1.16040413614745,3.86783142928069,0.000109807528272586,0.00694651972333099
"24","Smic_CassKB8.gene6527.mRNA1_Sym",23.8182159200364,1.6589199994797,0.433100119445476,3.8303383559527,0.000127967174391824,0.00775800994750433
"25","Smic_CassKB8.gene11367.mRNA1_Sym",14.3356694534294,2.42384857792818,0.648271132774995,3.73894263585767,0.000184795885329872,0.0107551205261985
"26","Smic_CassKB8.gene18841.mRNA1_Sym",6.65369853384083,2.92041073417211,0.788137266042665,3.70545951828399,0.000211007830730933,NA
"27","Smic_CassKB8.gene10490.mRNA1_Sym",4.82239224210452,-1.83141533709701,0.498608705431551,-3.67305126674814,0.000239671375435141,NA
"28","Smic_CassKB8.gene21733.mRNA1_Sym",11.7166230617042,2.36186807537923,0.644176224607436,3.66649370957235,0.000245898965051995,0.0133154508885266
"29","Smic_CassKB8.gene11797.mRNA1_Sym",7.90500279489943,3.06196669485595,0.835403121518364,3.66525646838709,0.00024709084123039,0.0133154508885266
"30","Smic_CassKB8.gene20875.mRNA1_Sym",4.09627113494844,-2.06734207165469,0.566694834492393,-3.64806937671573,0.000264218299788394,NA
"31","Smic_CassKB8.gene4037.mRNA1_Sym",4.23377549450144,-2.2508323717355,0.624043323929592,-3.60685273830355,0.000309933437459172,NA
"32","Smic_CassKB8.gene455.mRNA1_Sym",12.9815566003903,1.74959822221008,0.486794330918458,3.59412201639455,0.000325487286839677,0.0169137143697047
"33","Smic_CassKB8.gene4923.mRNA1_Sym",6.50319409329534,2.60474945811926,0.724767763076028,3.59390909863912,0.000325753526265602,NA
"34","Smic_CassKB8.gene14428.mRNA1_Sym",13.8108895160114,2.4128675141873,0.680641070229954,3.54499253677436,0.000392624202880211,0.0196989039720933
"35","Smic_CassKB8.gene4905.mRNA1_Sym",4.73603652267837,-2.1255693593329,0.603532384628546,-3.52188120052766,0.000428496118935449,NA
"36","Smic_CassKB8.gene18390.mRNA1_Sym",4.60812352229785,-1.96945659051808,0.560689748396244,-3.51256037077791,0.000443811164468978,NA
"37","Smic_CassKB8.gene4169.mRNA1_Sym",8.86683343897507,1.97217486609384,0.563654801028488,3.49890546926107,0.000467172177586702,0.0226578506129551
"38","Smic_CassKB8.gene35018.mRNA1_Sym",5.42951933080442,6.03722148455101,1.73870758198145,3.47224659690672,0.000516122008878327,NA
"39","Smic_CassKB8.gene40441.mRNA1_Sym",7.271077330561,1.83837893971618,0.547615510864859,3.35706148427533,0.000787755928053211,NA
"40","Smic_CassKB8.gene7974.mRNA1_Sym",9.44057635779514,-1.65375888656112,0.497582715054759,-3.32358588135265,0.000888680547155489,0.0417106514874592
