Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	172	172
OG0000001	124	124
OG0000002	123	123
OG0000003	110	110
OG0000004	79	79
OG0000005	62	62
OG0000006	40	40
OG0000007	43	43
OG0000008	30	30
OG0000009	36	36
OG0000010	32	32
OG0000011	34	34
OG0000012	32	32
OG0000013	32	32
OG0000014	28	28
OG0000015	28	28
OG0000016	26	26
OG0000017	27	27
OG0000018	26	26
OG0000019	25	25
OG0000020	20	20
OG0000021	21	21
OG0000022	20	20
OG0000023	21	21
OG0000024	21	21
OG0000025	19	19
OG0000026	17	17
OG0000027	17	17
OG0000028	16	16
OG0000029	15	15
OG0000030	14	14
OG0000031	15	15
OG0000032	16	16
OG0000033	13	13
OG0000034	13	13
OG0000035	13	13
OG0000036	14	14
OG0000037	14	14
OG0000038	14	14
OG0000039	14	14
OG0000040	13	13
OG0000041	12	12
OG0000042	13	13
OG0000043	13	13
OG0000044	10	10
OG0000045	11	11
OG0000046	11	11
OG0000047	11	11
OG0000048	11	11
OG0000049	11	11
OG0000050	11	11
OG0000051	11	11
OG0000052	11	11
OG0000053	8	8
OG0000054	9	9
OG0000055	8	8
OG0000056	10	10
OG0000057	10	10
OG0000058	10	10
OG0000059	10	10
OG0000060	10	10
OG0000061	9	9
OG0000062	9	9
OG0000063	6	6
OG0000064	9	9
OG0000065	9	9
OG0000066	8	8
OG0000067	8	8
OG0000068	8	8
OG0000069	8	8
OG0000070	8	8
OG0000071	9	9
OG0000072	9	9
OG0000073	9	9
OG0000074	9	9
OG0000075	9	9
OG0000076	9	9
OG0000077	8	8
OG0000078	8	8
OG0000079	8	8
OG0000080	7	7
OG0000081	7	7
OG0000082	8	8
OG0000083	8	8
OG0000084	8	8
OG0000085	8	8
OG0000086	7	7
OG0000087	6	6
OG0000088	6	6
OG0000089	6	6
OG0000090	7	7
OG0000091	7	7
OG0000092	7	7
OG0000093	7	7
OG0000094	7	7
OG0000095	7	7
OG0000096	7	7
OG0000097	7	7
OG0000098	7	7
OG0000099	7	7
OG0000100	7	7
OG0000101	7	7
OG0000102	7	7
OG0000103	6	6
OG0000104	5	5
OG0000105	5	5
OG0000106	6	6
OG0000107	5	5
OG0000108	5	5
OG0000109	5	5
OG0000110	6	6
OG0000111	5	5
OG0000112	5	5
OG0000113	5	5
OG0000114	5	5
OG0000115	5	5
OG0000116	5	5
OG0000117	6	6
OG0000118	6	6
OG0000119	6	6
OG0000120	6	6
OG0000121	6	6
OG0000122	6	6
OG0000123	6	6
OG0000124	6	6
OG0000125	6	6
OG0000126	6	6
OG0000127	6	6
OG0000128	6	6
OG0000129	6	6
OG0000130	6	6
OG0000131	6	6
OG0000132	6	6
OG0000133	6	6
OG0000134	6	6
OG0000135	6	6
OG0000136	4	4
OG0000137	5	5
OG0000138	3	3
OG0000139	2	2
OG0000140	5	5
OG0000141	5	5
OG0000142	4	4
OG0000143	4	4
OG0000144	5	5
OG0000145	5	5
OG0000146	4	4
OG0000147	5	5
OG0000148	4	4
OG0000149	4	4
OG0000150	4	4
OG0000151	3	3
OG0000152	3	3
OG0000153	5	5
OG0000154	5	5
OG0000155	4	4
OG0000156	3	3
OG0000157	5	5
OG0000158	5	5
OG0000159	5	5
OG0000160	5	5
OG0000161	5	5
OG0000162	5	5
OG0000163	5	5
OG0000164	5	5
OG0000165	5	5
OG0000166	5	5
OG0000167	5	5
OG0000168	5	5
OG0000169	5	5
OG0000170	5	5
OG0000171	5	5
OG0000172	5	5
OG0000173	5	5
OG0000174	5	5
OG0000175	5	5
OG0000176	5	5
OG0000177	5	5
OG0000178	5	5
OG0000179	5	5
OG0000180	5	5
OG0000181	5	5
OG0000182	5	5
OG0000183	5	5
OG0000184	5	5
OG0000185	5	5
OG0000186	5	5
OG0000187	5	5
OG0000188	5	5
OG0000189	5	5
OG0000190	5	5
OG0000191	5	5
OG0000192	5	5
OG0000193	5	5
OG0000194	5	5
OG0000195	5	5
OG0000196	5	5
OG0000197	4	4
OG0000198	3	3
OG0000199	4	4
OG0000200	4	4
OG0000201	3	3
OG0000202	4	4
OG0000203	3	3
OG0000204	4	4
OG0000205	3	3
OG0000206	4	4
OG0000207	3	3
OG0000208	4	4
OG0000209	4	4
OG0000210	4	4
OG0000211	4	4
OG0000212	4	4
OG0000213	3	3
OG0000214	2	2
OG0000215	3	3
OG0000216	3	3
OG0000217	4	4
OG0000218	4	4
OG0000219	3	3
OG0000220	3	3
OG0000221	3	3
OG0000222	3	3
OG0000223	3	3
OG0000224	3	3
OG0000225	3	3
OG0000226	3	3
OG0000227	4	4
OG0000228	4	4
OG0000229	4	4
OG0000230	4	4
OG0000231	4	4
OG0000232	4	4
OG0000233	4	4
OG0000234	4	4
OG0000235	4	4
