"","orthogroup","gene.Sid","isotig.Past","gene.Past"
"1","N0.HOG0000008","Siderastrea_Mexico_Barshis-Radice_Host_contig14809","isotig31162_Past","isogroup29430_Past"
"2","N0.HOG0000008","Siderastrea_Mexico_Barshis-Radice_Host_contig08996","isotig31162_Past","isogroup29430_Past"
"3","N0.HOG0000008","Siderastrea_Mexico_Barshis-Radice_Host_contig18412","isotig31162_Past","isogroup29430_Past"
"4","N0.HOG0000008","Siderastrea_Mexico_Barshis-Radice_Host_contig18850","isotig31162_Past","isogroup29430_Past"
"5","N0.HOG0000008","Siderastrea_Mexico_Barshis-Radice_Host_contig06547","isotig31162_Past","isogroup29430_Past"
"6","N0.HOG0000009","Siderastrea_Mexico_Barshis-Radice_Host_contig12051","isotig26406_Past","isogroup24674_Past"
"7","N0.HOG0000009","Siderastrea_Mexico_Barshis-Radice_Host_contig17467","isotig26406_Past","isogroup24674_Past"
"8","N0.HOG0000009","Siderastrea_Mexico_Barshis-Radice_Host_contig06732","isotig26406_Past","isogroup24674_Past"
"9","N0.HOG0000009","Siderastrea_Mexico_Barshis-Radice_Host_contig17757","isotig26406_Past","isogroup24674_Past"
"10","N0.HOG0000009","Siderastrea_Mexico_Barshis-Radice_Host_contig18511","isotig26406_Past","isogroup24674_Past"
"11","N0.HOG0000009","Siderastrea_Mexico_Barshis-Radice_Host_contig08392","isotig26406_Past","isogroup24674_Past"
"12","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig05727","isotig31942_Past","isogroup30210_Past"
"13","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig14065","isotig31942_Past","isogroup30210_Past"
"14","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig16038","isotig31942_Past","isogroup30210_Past"
"15","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig12896","isotig31942_Past","isogroup30210_Past"
"16","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig07562","isotig31942_Past","isogroup30210_Past"
"17","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig17480","isotig31942_Past","isogroup30210_Past"
"18","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig05144","isotig31942_Past","isogroup30210_Past"
"19","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig00128","isotig31942_Past","isogroup30210_Past"
"20","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig08480","isotig31942_Past","isogroup30210_Past"
"21","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig14080","isotig31942_Past","isogroup30210_Past"
"22","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig07194","isotig31942_Past","isogroup30210_Past"
"23","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig06703","isotig31942_Past","isogroup30210_Past"
"24","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig15041","isotig31942_Past","isogroup30210_Past"
"25","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig04962","isotig31942_Past","isogroup30210_Past"
"26","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig17522","isotig31942_Past","isogroup30210_Past"
"27","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig03023","isotig31942_Past","isogroup30210_Past"
"28","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig05012","isotig31942_Past","isogroup30210_Past"
"29","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig00083","isotig31942_Past","isogroup30210_Past"
"30","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig00140","isotig31942_Past","isogroup30210_Past"
"31","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig10145","isotig31942_Past","isogroup30210_Past"
"32","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig13099","isotig31942_Past","isogroup30210_Past"
"33","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig12021","isotig31942_Past","isogroup30210_Past"
"34","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig10639","isotig31942_Past","isogroup30210_Past"
"35","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig03064","isotig31942_Past","isogroup30210_Past"
"36","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig02098","isotig31942_Past","isogroup30210_Past"
"37","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig05436","isotig31942_Past","isogroup30210_Past"
"38","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig17017","isotig31942_Past","isogroup30210_Past"
"39","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig13701","isotig31942_Past","isogroup30210_Past"
"40","N0.HOG0000012","Siderastrea_Mexico_Barshis-Radice_Host_contig02703","isotig31942_Past","isogroup30210_Past"
