HOG	OG	Gene Tree Parent Clade	19222_Sid_GoodCoral_500lnThresh_Final	29422_past_LongestContig_suffixed
N0.HOG0000000	OG0000000	n1	Siderastrea_Mexico_Barshis-Radice_Host_contig01431	isotig04050_Past
N0.HOG0000001	OG0000000	n3	Siderastrea_Mexico_Barshis-Radice_Host_contig09984, Siderastrea_Mexico_Barshis-Radice_Host_contig17907, Siderastrea_Mexico_Barshis-Radice_Host_contig11703, Siderastrea_Mexico_Barshis-Radice_Host_contig15726, Siderastrea_Mexico_Barshis-Radice_Host_contig13661	
N0.HOG0000002	OG0000000	n8	Siderastrea_Mexico_Barshis-Radice_Host_contig02462, Siderastrea_Mexico_Barshis-Radice_Host_contig06616, Siderastrea_Mexico_Barshis-Radice_Host_contig07538	
N0.HOG0000003	OG0000000	n13	Siderastrea_Mexico_Barshis-Radice_Host_contig18072, Siderastrea_Mexico_Barshis-Radice_Host_contig00066, Siderastrea_Mexico_Barshis-Radice_Host_contig00441, Siderastrea_Mexico_Barshis-Radice_Host_contig17845, Siderastrea_Mexico_Barshis-Radice_Host_contig04238, Siderastrea_Mexico_Barshis-Radice_Host_contig11784, Siderastrea_Mexico_Barshis-Radice_Host_contig18567	
N0.HOG0000004	OG0000000	n20	Siderastrea_Mexico_Barshis-Radice_Host_contig10785, Siderastrea_Mexico_Barshis-Radice_Host_contig00555, Siderastrea_Mexico_Barshis-Radice_Host_contig16524, Siderastrea_Mexico_Barshis-Radice_Host_contig08122, Siderastrea_Mexico_Barshis-Radice_Host_contig13342, Siderastrea_Mexico_Barshis-Radice_Host_contig16814, Siderastrea_Mexico_Barshis-Radice_Host_contig12217, Siderastrea_Mexico_Barshis-Radice_Host_contig06228	
N0.HOG0000005	OG0000000	n28	Siderastrea_Mexico_Barshis-Radice_Host_contig09847, Siderastrea_Mexico_Barshis-Radice_Host_contig03124, Siderastrea_Mexico_Barshis-Radice_Host_contig03858	
N0.HOG0000006	OG0000000	n31	Siderastrea_Mexico_Barshis-Radice_Host_contig04021, Siderastrea_Mexico_Barshis-Radice_Host_contig18298, Siderastrea_Mexico_Barshis-Radice_Host_contig01673	
N0.HOG0000007	OG0000000	n38	Siderastrea_Mexico_Barshis-Radice_Host_contig00231, Siderastrea_Mexico_Barshis-Radice_Host_contig14532	
N0.HOG0000008	OG0000000	n40	Siderastrea_Mexico_Barshis-Radice_Host_contig14809, Siderastrea_Mexico_Barshis-Radice_Host_contig08996, Siderastrea_Mexico_Barshis-Radice_Host_contig18412, Siderastrea_Mexico_Barshis-Radice_Host_contig18850, Siderastrea_Mexico_Barshis-Radice_Host_contig06547	isotig31162_Past
N0.HOG0000009	OG0000000	n45	Siderastrea_Mexico_Barshis-Radice_Host_contig12051, Siderastrea_Mexico_Barshis-Radice_Host_contig17467, Siderastrea_Mexico_Barshis-Radice_Host_contig06732, Siderastrea_Mexico_Barshis-Radice_Host_contig17757, Siderastrea_Mexico_Barshis-Radice_Host_contig18511, Siderastrea_Mexico_Barshis-Radice_Host_contig08392	isotig26406_Past
N0.HOG0000010	OG0000000	n51	Siderastrea_Mexico_Barshis-Radice_Host_contig01437, Siderastrea_Mexico_Barshis-Radice_Host_contig00080, Siderastrea_Mexico_Barshis-Radice_Host_contig08065, Siderastrea_Mexico_Barshis-Radice_Host_contig13974, Siderastrea_Mexico_Barshis-Radice_Host_contig15987	
