"","isotig","gene","orthogroup","gene_Sid"
"1","isotig00026_Past","isogroup00004_Past","N0.HOG0000054","Siderastrea_Mexico_Barshis-Radice_Host_contig09373"
"2","isotig00203_Past","isogroup00042_Past","N0.HOG0003158","Siderastrea_Mexico_Barshis-Radice_Host_contig16711"
"3","isotig00247_Past","isogroup00053_Past","N0.HOG0000499","Siderastrea_Mexico_Barshis-Radice_Host_contig12729"
"4","isotig00260_Past","isogroup00058_Past","N0.HOG0001514","Siderastrea_Mexico_Barshis-Radice_Host_contig11158"
"5","isotig00290_Past","isogroup00070_Past","N0.HOG0002456","Siderastrea_Mexico_Barshis-Radice_Host_contig04006"
"6","isotig00318_Past","isogroup00077_Past","N0.HOG0001656","Siderastrea_Mexico_Barshis-Radice_Host_contig14224"
"7","isotig00322_Past","isogroup00078_Past","N0.HOG0003223","Siderastrea_Mexico_Barshis-Radice_Host_contig10608"
"8","isotig00334_Past","isogroup00081_Past","N0.HOG0002118","Siderastrea_Mexico_Barshis-Radice_Host_contig01980"
"9","isotig00358_Past","isogroup00087_Past","N0.HOG0003502","Siderastrea_Mexico_Barshis-Radice_Host_contig04038"
"10","isotig00446_Past","isogroup00109_Past","N0.HOG0002822","Siderastrea_Mexico_Barshis-Radice_Host_contig02595"
"11","isotig00473_Past","isogroup00117_Past","N0.HOG0003270","Siderastrea_Mexico_Barshis-Radice_Host_contig05597"
"12","isotig00605_Past","isogroup00161_Past","N0.HOG0003462","Siderastrea_Mexico_Barshis-Radice_Host_contig03676"
"13","isotig00644_Past","isogroup00174_Past","N0.HOG0002496","Siderastrea_Mexico_Barshis-Radice_Host_contig00316"
"14","isotig00662_Past","isogroup00180_Past","N0.HOG0002656","Siderastrea_Mexico_Barshis-Radice_Host_contig12330"
"15","isotig00669_Past","isogroup00183_Past","N0.HOG0003508","Siderastrea_Mexico_Barshis-Radice_Host_contig08250"
"16","isotig00722_Past","isogroup00203_Past","N0.HOG0002403","Siderastrea_Mexico_Barshis-Radice_Host_contig02131"
"17","isotig00725_Past","isogroup00204_Past","N0.HOG0001788","Siderastrea_Mexico_Barshis-Radice_Host_contig04711"
"18","isotig00823_Past","isogroup00240_Past","N0.HOG0002790","Siderastrea_Mexico_Barshis-Radice_Host_contig03429"
"19","isotig00850_Past","isogroup00253_Past","N0.HOG0001924","Siderastrea_Mexico_Barshis-Radice_Host_contig00693"
"20","isotig00851_Past","isogroup00254_Past","N0.HOG0003440","Siderastrea_Mexico_Barshis-Radice_Host_contig18137"
"21","isotig00865_Past","isogroup00261_Past","N0.HOG0001799","Siderastrea_Mexico_Barshis-Radice_Host_contig00481"
"22","isotig00883_Past","isogroup00270_Past","N0.HOG0001795","Siderastrea_Mexico_Barshis-Radice_Host_contig07598"
"23","isotig00901_Past","isogroup00279_Past","N0.HOG0000526","Siderastrea_Mexico_Barshis-Radice_Host_contig07829"
"24","isotig00947_Past","isogroup00302_Past","N0.HOG0003587","Siderastrea_Mexico_Barshis-Radice_Host_contig08991"
"25","isotig00989_Past","isogroup00324_Past","N0.HOG0002756","Siderastrea_Mexico_Barshis-Radice_Host_contig14892"
"26","isotig01014_Past","isogroup00340_Past","N0.HOG0002981","Siderastrea_Mexico_Barshis-Radice_Host_contig00518"
"27","isotig01016_Past","isogroup00341_Past","N0.HOG0000023","Siderastrea_Mexico_Barshis-Radice_Host_contig05917"
"28","isotig01028_Past","isogroup00347_Past","N0.HOG0003072","Siderastrea_Mexico_Barshis-Radice_Host_contig08449"
"29","isotig01032_Past","isogroup00349_Past","N0.HOG0003259","Siderastrea_Mexico_Barshis-Radice_Host_contig11416"
"30","isotig01034_Past","isogroup00350_Past","N0.HOG0003414","Siderastrea_Mexico_Barshis-Radice_Host_contig14477"
"31","isotig01040_Past","isogroup00353_Past","N0.HOG0001753","Siderastrea_Mexico_Barshis-Radice_Host_contig18002"
"32","isotig01044_Past","isogroup00355_Past","N0.HOG0002960","Siderastrea_Mexico_Barshis-Radice_Host_contig06962"
"33","isotig01054_Past","isogroup00360_Past","N0.HOG0002893","Siderastrea_Mexico_Barshis-Radice_Host_contig15323"
"34","isotig01056_Past","isogroup00361_Past","N0.HOG0003491","Siderastrea_Mexico_Barshis-Radice_Host_contig07038"
"35","isotig01058_Past","isogroup00362_Past","N0.HOG0002360","Siderastrea_Mexico_Barshis-Radice_Host_contig16769"
"36","isotig01066_Past","isogroup00366_Past","N0.HOG0003401","Siderastrea_Mexico_Barshis-Radice_Host_contig04819"
"37","isotig01072_Past","isogroup00369_Past","N0.HOG0000087","Siderastrea_Mexico_Barshis-Radice_Host_contig13035"
"38","isotig01088_Past","isogroup00377_Past","N0.HOG0002216","Siderastrea_Mexico_Barshis-Radice_Host_contig12264"
"39","isotig01093_Past","isogroup00379_Past","N0.HOG0001876","Siderastrea_Mexico_Barshis-Radice_Host_contig17430"
"40","isotig01094_Past","isogroup00380_Past","N0.HOG0002042","Siderastrea_Mexico_Barshis-Radice_Host_contig08146"
"41","isotig01102_Past","isogroup00384_Past","N0.HOG0001632","Siderastrea_Mexico_Barshis-Radice_Host_contig05150"
"42","isotig01118_Past","isogroup00392_Past","N0.HOG0002829","Siderastrea_Mexico_Barshis-Radice_Host_contig04745"
