Orthogroup	10714_past_LongestContig_500ln_suffixed	19222_Sid_GoodCoral_500lnThresh_Final
OG0003005	isotig12977_Past	
OG0003006	isotig04880_Past	
OG0003007	isotig13660_Past	
OG0003008	isotig13281_Past	
OG0003009	isotig05579_Past	
OG0003010	isotig07717_Past	
OG0003011	isotig13992_Past	
OG0003012	isotig13371_Past	
OG0003013	isotig12706_Past	
OG0003014	isotig07108_Past	
OG0003015	isotig07643_Past	
OG0003016	isotig00584_Past	
OG0003017	isotig02308_Past	
OG0003018	isotig10158_Past	
OG0003019	isotig10859_Past	
OG0003020	isotig11906_Past	
OG0003021	isotig08953_Past	
OG0003022	isotig12372_Past	
OG0003023	isotig05372_Past	
OG0003024	isotig08174_Past	
OG0003025	isotig06472_Past	
OG0003026	GE906612_Past	
OG0003027	isotig10390_Past	
OG0003028	isotig03859_Past	
OG0003029	isotig04242_Past	
OG0003030	isotig10069_Past	
OG0003031	isotig09081_Past	
OG0003032	isotig12096_Past	
OG0003033	isotig13386_Past	
OG0003034	isotig06812_Past	
OG0003035	isotig06154_Past	
OG0003036	isotig09059_Past	
OG0003037	isotig05973_Past	
OG0003038	isotig13845_Past	
OG0003039	isotig03208_Past	
OG0003040	isotig07341_Past	
OG0003041	isotig11680_Past	
OG0003042	isotig11131_Past	
OG0003043	isotig09779_Past	
OG0003044	isotig09317_Past	
OG0003045	isotig07611_Past	
OG0003046	GE910468_Past	
OG0003047	isotig00905_Past	
OG0003048	isotig12807_Past	
OG0003049	isotig14129_Past	
OG0003050	isotig06345_Past	
OG0003051	isotig05343_Past	
OG0003052	isotig10576_Past	
OG0003053	isotig09461_Past	
OG0003054	isotig04582_Past	
OG0003055	isotig04994_Past	
OG0003056	isotig13976_Past	
OG0003057	GE915411_Past	
OG0003058	isotig03451_Past	
OG0003059	isotig10460_Past	
OG0003060	isotig12877_Past	
OG0003061	isotig06390_Past	
OG0003062	GE908492_Past	
OG0003063	isotig06724_Past	
OG0003064	isotig08216_Past	
OG0003065	isotig08145_Past	
OG0003066	isotig08657_Past	
OG0003067	isotig08482_Past	
OG0003068	isotig07129_Past	
OG0003069	GE911087_Past	
OG0003070	isotig09842_Past	
OG0003071	isotig04277_Past	
OG0003072	isotig13011_Past	
OG0003073	isotig10090_Past	
OG0003074	isotig11110_Past	
OG0003075	isotig07759_Past	
OG0003076	isotig07510_Past	
OG0003077	isotig12824_Past	
OG0003078	isotig11412_Past	
OG0003079	isotig11807_Past	
OG0003080	isotig07672_Past	
OG0003081	isotig07527_Past	
OG0003082	GE912847_Past	
OG0003083	isotig06374_Past	
OG0003084	isotig03571_Past	
OG0003085	GE912674_Past	
OG0003086	isotig12586_Past	
OG0003087	isotig12418_Past	
OG0003088	isotig09934_Past	
OG0003089	GE913352_Past	
OG0003090	isotig10617_Past	
OG0003091	isotig07731_Past	
OG0003092	isotig10751_Past	
OG0003093	isotig13996_Past	
OG0003094	isotig10626_Past	
OG0003095	isotig03908_Past	
OG0003096	isotig12104_Past	
OG0003097	GE908924_Past	
OG0003098	isotig09809_Past	
OG0003099	isotig07425_Past	
OG0003100	isotig11650_Past	
OG0003101	isotig07418_Past	
OG0003102	isotig04402_Past	
OG0003103	isotig10646_Past	
OG0003104	isotig03653_Past	
OG0003105	isotig05093_Past	
OG0003106	isotig09042_Past	
OG0003107	isotig06251_Past	
OG0003108	isotig05177_Past	
OG0003109	isotig08543_Past	
OG0003110	isotig03668_Past	
OG0003111	isotig03914_Past	
OG0003112	isotig10367_Past	
OG0003113	isotig08213_Past	
OG0003114	isotig03577_Past	
OG0003115	isotig12388_Past	
OG0003116	isotig07451_Past	
OG0003117	isotig09557_Past	
OG0003118	isotig07888_Past	
OG0003119	isotig08302_Past	
OG0003120	isotig08550_Past	
OG0003121	isotig03993_Past	
OG0003122	isotig08420_Past	
OG0003123	isotig09450_Past	
OG0003124	isotig05704_Past	
OG0003125	isotig04604_Past	
OG0003126	isotig08428_Past	
OG0003127	isotig07761_Past	
OG0003128	isotig11550_Past	
OG0003129	isotig09023_Past	
OG0003130	isotig08455_Past	
OG0003131	isotig07649_Past	
OG0003132	isotig10067_Past	
OG0003133	isotig08088_Past	
OG0003134	isotig12568_Past	
OG0003135	isotig04271_Past	
OG0003136	isotig12551_Past	
OG0003137	isotig04519_Past	
OG0003138	isotig06035_Past	
OG0003139	GE912255_Past	
OG0003140	GE915235_Past	
