"","isotig","gene","orthogroup","gene_Sid"
"1","isotig00026_Ppor","isogroup00004_Ppor","N0.HOG0000054","Siderastrea_Mexico_Barshis-Radice_Host_contig09373"
"2","isotig00203_Ppor","isogroup00042_Ppor","N0.HOG0003158","Siderastrea_Mexico_Barshis-Radice_Host_contig16711"
"3","isotig00247_Ppor","isogroup00053_Ppor","N0.HOG0000499","Siderastrea_Mexico_Barshis-Radice_Host_contig12729"
"4","isotig00260_Ppor","isogroup00058_Ppor","N0.HOG0001514","Siderastrea_Mexico_Barshis-Radice_Host_contig11158"
"5","isotig00290_Ppor","isogroup00070_Ppor","N0.HOG0002456","Siderastrea_Mexico_Barshis-Radice_Host_contig04006"
"6","isotig00318_Ppor","isogroup00077_Ppor","N0.HOG0001656","Siderastrea_Mexico_Barshis-Radice_Host_contig14224"
"7","isotig00322_Ppor","isogroup00078_Ppor","N0.HOG0003223","Siderastrea_Mexico_Barshis-Radice_Host_contig10608"
"8","isotig00334_Ppor","isogroup00081_Ppor","N0.HOG0002118","Siderastrea_Mexico_Barshis-Radice_Host_contig01980"
"9","isotig00358_Ppor","isogroup00087_Ppor","N0.HOG0003502","Siderastrea_Mexico_Barshis-Radice_Host_contig04038"
"10","isotig00446_Ppor","isogroup00109_Ppor","N0.HOG0002822","Siderastrea_Mexico_Barshis-Radice_Host_contig02595"
"11","isotig00473_Ppor","isogroup00117_Ppor","N0.HOG0003270","Siderastrea_Mexico_Barshis-Radice_Host_contig05597"
"12","isotig00605_Ppor","isogroup00161_Ppor","N0.HOG0003462","Siderastrea_Mexico_Barshis-Radice_Host_contig03676"
"13","isotig00644_Ppor","isogroup00174_Ppor","N0.HOG0002496","Siderastrea_Mexico_Barshis-Radice_Host_contig00316"
"14","isotig00662_Ppor","isogroup00180_Ppor","N0.HOG0002656","Siderastrea_Mexico_Barshis-Radice_Host_contig12330"
"15","isotig00669_Ppor","isogroup00183_Ppor","N0.HOG0003508","Siderastrea_Mexico_Barshis-Radice_Host_contig08250"
"16","isotig00722_Ppor","isogroup00203_Ppor","N0.HOG0002403","Siderastrea_Mexico_Barshis-Radice_Host_contig02131"
