HOG	OG	Gene Tree Parent Clade	36345_Symbiodinium_microadriaticum_A1_CassKB8_500ln	47262_Davies_Cladocopium_LongestContig-500_renamed	52508_Breviolum_Sid-radians_Avila-Medina_500lnThresh_LongestIso_renamed
N1.HOG0000000	OG0000000	n1		Cladocopium_Davies_comp122898_c0_seq1_Symbiont	Breviolum_Sid-radians_Avila-Medina_DN269345_c1_g1_i1_Symbiont
N1.HOG0000001	OG0000000	n10		Cladocopium_Davies_comp341947_c0_seq1_Symbiont	
N1.HOG0000002	OG0000000	n40		Cladocopium_Davies_comp75669_c0_seq1_Symbiont	
N1.HOG0000003	OG0000000	n73		Cladocopium_Davies_comp218807_c1_seq1_Symbiont	
N1.HOG0000004	OG0000000	n98		Cladocopium_Davies_comp47359_c0_seq1_Symbiont	
N1.HOG0000005	OG0000000	n153		Cladocopium_Davies_comp172504_c0_seq1_Symbiont	
N1.HOG0000006	OG0000004	n0			Breviolum_Sid-radians_Avila-Medina_DN291295_c0_g1_i1_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN91522_c0_g1_i1_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN541780_c0_g1_i1_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN427270_c1_g3_i4_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN436290_c5_g4_i3_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN772342_c0_g1_i1_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN470845_c0_g1_i1_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN72963_c0_g1_i1_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN279967_c0_g3_i1_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN394069_c4_g6_i1_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN371951_c0_g1_i3_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN693980_c0_g1_i1_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN406023_c3_g2_i1_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN406023_c3_g3_i1_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN191598_c0_g1_i1_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN410158_c4_g6_i3_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN410158_c4_g7_i3_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN410158_c4_g8_i1_Symbiont, Breviolum_Sid-radians_Avila-Medina_DN436290_c5_g5_i1_Symbiont
N1.HOG0000007	OG0000012	n1			Breviolum_Sid-radians_Avila-Medina_DN396679_c1_g1_i2_Symbiont
N1.HOG0000008	OG0000012	n9		Cladocopium_Davies_comp117847_c0_seq1_Symbiont	
N1.HOG0000009	OG0000012	n11		Cladocopium_Davies_comp241518_c0_seq2_Symbiont	Breviolum_Sid-radians_Avila-Medina_DN390807_c0_g2_i1_Symbiont
