"","orthogroup","gene_Sid","isotig"
"N0.HOG0000000","N0.HOG0000000","Siderastrea_Mexico_Barshis-Radice_Host_contig01431","isotig04050_Past"
"N0.HOG0000014","N0.HOG0000014","Siderastrea_Mexico_Barshis-Radice_Host_contig14593","GE911455_Past"
"N0.HOG0000023","N0.HOG0000023","Siderastrea_Mexico_Barshis-Radice_Host_contig05917","isotig01016_Past"
"N0.HOG0000026","N0.HOG0000026","Siderastrea_Mexico_Barshis-Radice_Host_contig05747","isotig06415_Past"
"N0.HOG0000044","N0.HOG0000044","Siderastrea_Mexico_Barshis-Radice_Host_contig14938","isotig24571_Past"
"N0.HOG0000046","N0.HOG0000046","Siderastrea_Mexico_Barshis-Radice_Host_contig18894","isotig03223_Past"
"N0.HOG0000049","N0.HOG0000049","Siderastrea_Mexico_Barshis-Radice_Host_contig13490","isotig04856_Past"
"N0.HOG0000052","N0.HOG0000052","Siderastrea_Mexico_Barshis-Radice_Host_contig09480","isotig03294_Past"
"N0.HOG0000054","N0.HOG0000054","Siderastrea_Mexico_Barshis-Radice_Host_contig09373","isotig00026_Past"
"N0.HOG0000058","N0.HOG0000058","Siderastrea_Mexico_Barshis-Radice_Host_contig04016","isotig06771_Past"
"N0.HOG0000060","N0.HOG0000060","Siderastrea_Mexico_Barshis-Radice_Host_contig18126","isotig08409_Past"
"N0.HOG0000061","N0.HOG0000061","Siderastrea_Mexico_Barshis-Radice_Host_contig03877","isotig03096_Past"
"N0.HOG0000066","N0.HOG0000066","Siderastrea_Mexico_Barshis-Radice_Host_contig07969","isotig22170_Past"
"N0.HOG0000086","N0.HOG0000086","Siderastrea_Mexico_Barshis-Radice_Host_contig07046","isotig11352_Past"
"N0.HOG0000087","N0.HOG0000087","Siderastrea_Mexico_Barshis-Radice_Host_contig13035","isotig01072_Past"
"N0.HOG0000100","N0.HOG0000100","Siderastrea_Mexico_Barshis-Radice_Host_contig10897","isotig11493_Past"
"N0.HOG0000121","N0.HOG0000121","Siderastrea_Mexico_Barshis-Radice_Host_contig11081","isotig28199_Past"
"N0.HOG0000153","N0.HOG0000153","Siderastrea_Mexico_Barshis-Radice_Host_contig06579","isotig15674_Past"
"N0.HOG0000160","N0.HOG0000160","Siderastrea_Mexico_Barshis-Radice_Host_contig02604","isotig21641_Past"
"N0.HOG0000167","N0.HOG0000167","Siderastrea_Mexico_Barshis-Radice_Host_contig17349","isotig04029_Past"
"N0.HOG0000169","N0.HOG0000169","Siderastrea_Mexico_Barshis-Radice_Host_contig05738","isotig20057_Past"
"N0.HOG0000182","N0.HOG0000182","Siderastrea_Mexico_Barshis-Radice_Host_contig04127","isotig03817_Past"
"N0.HOG0000183","N0.HOG0000183","Siderastrea_Mexico_Barshis-Radice_Host_contig02894","isotig22836_Past"
"N0.HOG0000197","N0.HOG0000197","Siderastrea_Mexico_Barshis-Radice_Host_contig13675","isotig24643_Past"
"N0.HOG0000219","N0.HOG0000219","Siderastrea_Mexico_Barshis-Radice_Host_contig16246","isotig13287_Past"
"N0.HOG0000220","N0.HOG0000220","Siderastrea_Mexico_Barshis-Radice_Host_contig18170","isotig04465_Past"
"N0.HOG0000221","N0.HOG0000221","Siderastrea_Mexico_Barshis-Radice_Host_contig12045","isotig16611_Past"
"N0.HOG0000243","N0.HOG0000243","Siderastrea_Mexico_Barshis-Radice_Host_contig18329","isotig28409_Past"
"N0.HOG0000249","N0.HOG0000249","Siderastrea_Mexico_Barshis-Radice_Host_contig07311","GCKDGN101AM8UX_Past"
"N0.HOG0000250","N0.HOG0000250","Siderastrea_Mexico_Barshis-Radice_Host_contig17047","isotig28763_Past"
"N0.HOG0000251","N0.HOG0000251","Siderastrea_Mexico_Barshis-Radice_Host_contig11992","GE914432_Past"
"N0.HOG0000278","N0.HOG0000278","Siderastrea_Mexico_Barshis-Radice_Host_contig11265","isotig09210_Past"
"N0.HOG0000282","N0.HOG0000282","Siderastrea_Mexico_Barshis-Radice_Host_contig12522","isotig18151_Past"
"N0.HOG0000287","N0.HOG0000287","Siderastrea_Mexico_Barshis-Radice_Host_contig00471","GCKDGN103HJ6PY_Past"
"N0.HOG0000291","N0.HOG0000291","Siderastrea_Mexico_Barshis-Radice_Host_contig15330","isotig04495_Past"
"N0.HOG0000292","N0.HOG0000292","Siderastrea_Mexico_Barshis-Radice_Host_contig00068","isotig01180_Past"
"N0.HOG0000293","N0.HOG0000293","Siderastrea_Mexico_Barshis-Radice_Host_contig04774","isotig07697_Past"
"N0.HOG0000308","N0.HOG0000308","Siderastrea_Mexico_Barshis-Radice_Host_contig00962","GE915265_Past"
"N0.HOG0000325","N0.HOG0000325","Siderastrea_Mexico_Barshis-Radice_Host_contig18114","isotig29962_Past"
"N0.HOG0000326","N0.HOG0000326","Siderastrea_Mexico_Barshis-Radice_Host_contig14908","isotig01534_Past"
"N0.HOG0000327","N0.HOG0000327","Siderastrea_Mexico_Barshis-Radice_Host_contig16759","isotig19228_Past"
"N0.HOG0000358","N0.HOG0000358","Siderastrea_Mexico_Barshis-Radice_Host_contig11568","isotig13370_Past"
"N0.HOG0000370","N0.HOG0000370","Siderastrea_Mexico_Barshis-Radice_Host_contig08185","isotig28215_Past"
"N0.HOG0000385","N0.HOG0000385","Siderastrea_Mexico_Barshis-Radice_Host_contig15037","isotig28926_Past"
"N0.HOG0000402","N0.HOG0000402","Siderastrea_Mexico_Barshis-Radice_Host_contig07660","isotig04601_Past"
"N0.HOG0000404","N0.HOG0000404","Siderastrea_Mexico_Barshis-Radice_Host_contig01340","isotig21689_Past"
"N0.HOG0000429","N0.HOG0000429","Siderastrea_Mexico_Barshis-Radice_Host_contig08022","isotig09604_Past"
"N0.HOG0000437","N0.HOG0000437","Siderastrea_Mexico_Barshis-Radice_Host_contig07413","isotig23380_Past"
"N0.HOG0000439","N0.HOG0000439","Siderastrea_Mexico_Barshis-Radice_Host_contig05358","GE916107_Past"
"N0.HOG0000442","N0.HOG0000442","Siderastrea_Mexico_Barshis-Radice_Host_contig10262","isotig24437_Past"
"N0.HOG0000498","N0.HOG0000498","Siderastrea_Mexico_Barshis-Radice_Host_contig07333","isotig11864_Past"
"N0.HOG0000499","N0.HOG0000499","Siderastrea_Mexico_Barshis-Radice_Host_contig12729","isotig00247_Past"
"N0.HOG0000508","N0.HOG0000508","Siderastrea_Mexico_Barshis-Radice_Host_contig11719","isotig19574_Past"
"N0.HOG0000509","N0.HOG0000509","Siderastrea_Mexico_Barshis-Radice_Host_contig11419","isotig03886_Past"
"N0.HOG0000518","N0.HOG0000518","Siderastrea_Mexico_Barshis-Radice_Host_contig17333","GCKDGN103G8HAR_Past"
"N0.HOG0000519","N0.HOG0000519","Siderastrea_Mexico_Barshis-Radice_Host_contig07853","isotig23799_Past"
"N0.HOG0000520","N0.HOG0000520","Siderastrea_Mexico_Barshis-Radice_Host_contig05965","isotig03350_Past"
"N0.HOG0000521","N0.HOG0000521","Siderastrea_Mexico_Barshis-Radice_Host_contig04053","isotig06024_Past"
"N0.HOG0000526","N0.HOG0000526","Siderastrea_Mexico_Barshis-Radice_Host_contig07829","isotig00901_Past"
"N0.HOG0000527","N0.HOG0000527","Siderastrea_Mexico_Barshis-Radice_Host_contig03423","isotig13979_Past"
"N0.HOG0000545","N0.HOG0000545","Siderastrea_Mexico_Barshis-Radice_Host_contig12908","isotig14021_Past"
"N0.HOG0000546","N0.HOG0000546","Siderastrea_Mexico_Barshis-Radice_Host_contig16580","isotig13455_Past"
"N0.HOG0000548","N0.HOG0000548","Siderastrea_Mexico_Barshis-Radice_Host_contig18805","isotig17234_Past"
"N0.HOG0000549","N0.HOG0000549","Siderastrea_Mexico_Barshis-Radice_Host_contig14984","isotig11375_Past"
"N0.HOG0000553","N0.HOG0000553","Siderastrea_Mexico_Barshis-Radice_Host_contig11032","isotig22602_Past"
"N0.HOG0000554","N0.HOG0000554","Siderastrea_Mexico_Barshis-Radice_Host_contig07148","isotig02030_Past"
"N0.HOG0000566","N0.HOG0000566","Siderastrea_Mexico_Barshis-Radice_Host_contig10795","isotig06837_Past"
"N0.HOG0000567","N0.HOG0000567","Siderastrea_Mexico_Barshis-Radice_Host_contig15722","isotig07763_Past"
"N0.HOG0000568","N0.HOG0000568","Siderastrea_Mexico_Barshis-Radice_Host_contig15207","isotig13763_Past"
"N0.HOG0000569","N0.HOG0000569","Siderastrea_Mexico_Barshis-Radice_Host_contig10336","isotig29208_Past"
"N0.HOG0000579","N0.HOG0000579","Siderastrea_Mexico_Barshis-Radice_Host_contig11300","isotig22647_Past"
"N0.HOG0000580","N0.HOG0000580","Siderastrea_Mexico_Barshis-Radice_Host_contig06345","isotig02228_Past"
"N0.HOG0000595","N0.HOG0000595","Siderastrea_Mexico_Barshis-Radice_Host_contig07492","isotig31095_Past"
"N0.HOG0000596","N0.HOG0000596","Siderastrea_Mexico_Barshis-Radice_Host_contig13548","isotig04450_Past"
"N0.HOG0000602","N0.HOG0000602","Siderastrea_Mexico_Barshis-Radice_Host_contig18435","isotig28333_Past"
"N0.HOG0000603","N0.HOG0000603","Siderastrea_Mexico_Barshis-Radice_Host_contig03980","isotig01820_Past"
"N0.HOG0000619","N0.HOG0000619","Siderastrea_Mexico_Barshis-Radice_Host_contig10107","isotig03709_Past"
"N0.HOG0000620","N0.HOG0000620","Siderastrea_Mexico_Barshis-Radice_Host_contig12841","isotig09514_Past"
"N0.HOG0000636","N0.HOG0000636","Siderastrea_Mexico_Barshis-Radice_Host_contig04784","isotig03448_Past"
"N0.HOG0000637","N0.HOG0000637","Siderastrea_Mexico_Barshis-Radice_Host_contig00267","isotig19668_Past"
"N0.HOG0000641","N0.HOG0000641","Siderastrea_Mexico_Barshis-Radice_Host_contig12139","isotig09687_Past"
"N0.HOG0000642","N0.HOG0000642","Siderastrea_Mexico_Barshis-Radice_Host_contig12801","isotig07399_Past"
"N0.HOG0000647","N0.HOG0000647","Siderastrea_Mexico_Barshis-Radice_Host_contig15975","isotig05778_Past"
"N0.HOG0000648","N0.HOG0000648","Siderastrea_Mexico_Barshis-Radice_Host_contig00651","isotig10635_Past"
"N0.HOG0000661","N0.HOG0000661","Siderastrea_Mexico_Barshis-Radice_Host_contig09085","isotig09579_Past"
"N0.HOG0000662","N0.HOG0000662","Siderastrea_Mexico_Barshis-Radice_Host_contig11843","isotig11072_Past"
