"","gene","baseMean.x","log2FoldChange.x","lfcSE.x","stat.x","pvalue.x","padj.x","baseMean.y","log2FoldChange.y","lfcSE.y","stat.y","pvalue.y","padj.y","isotig","ContigName","ContigLength","topnrMatch","topnrEvalue","topnrAlignmentLength","topnrPercMatch","nobadwordnrMatch","nobadwordnrEvalue","nobadwordnrAlignLength","nobadwordnrPercentMatch","Uniprotmatch","X._identity","evalue","ID","Description","KEGG","KEGGKO","PFAM","GO","GOCC","GOBP","GOMF","Keywords"
"1","isogroup14250_Past",42377.8579472344,10.5588541520517,0.993248589627408,10.6306258698163,2.14666989074427e-26,7.29009094896753e-23,42377.8579472344,7.82842623912721,1.12290979224171,6.97155398698501,3.13458983639558e-12,3.71344409284996e-09,"isotig15982_Past","isotig15982_Past",458,"gb|AYE66860.1| hypothetical protein, partial [Solanum lycopersicum]","1.26E-22","83","0.65","dbj|GEU78534.1| putative RNA-directed DNA polymerase [Tanacetum cinerariifolium]","1.37E-20","72","0.67","A0A386RUY8","65.06","6.70E-23","A0A386RUY8_SOLLC","Uncharacterized protein {ECO:0000313|EMBL:AYE66860.1}","No_KEGG","No_KEGGKO","Pfam","GO:0009507","No_GOBP","No_GOMF","chloroplast (GO:0009507);","Chloroplast {ECO:0000313|EMBL:AYE66860.1};Plastid {ECO:0000313|EMBL:AYE66860.1}.;"
"2","isogroup23261_Past",4471.59342507498,9.77064114793734,0.966134616255456,10.1131260422139,4.83174748648949e-24,8.20430723205915e-21,4471.59342507498,7.95348127649785,1.08947877706753,7.30026269800833,2.87206416040293e-13,5.103658013036e-10,"isotig24993_Past","isotig24993_Past",331,"gb|EEW89200.1| cell wall-associated hydrolase [Brucella suis bv. 4 str. 40]","6.84E-29","105","0.61","gb|EEW89200.1| cell wall-associated hydrolase [Brucella suis bv. 4 str. 40]","6.84E-29","105","0.61","A0A1X7DDR0","60","5.34E-29","A0A1X7DDR0_9RHIZ","Uncharacterized protein {ECO:0000313|EMBL:SMF13578.1}","No_KEGG","No_KEGGKO","Pfam","No_GOcodes","No_GOBP","No_GOMF","No_GOCC","No_keywords"
"3","isogroup06096_Past",109607.310134112,9.55868076941701,0.96527498772091,9.90254682967162,4.05806775542455e-23,4.59373269914059e-20,109607.310134112,7.36570940182186,1.09193839282718,6.74553569157964,1.52463449780224e-11,1.35463775129729e-08,"isotig07828_Past","isotig07828_Past",786,"gb|KAF1854518.1| hypothetical protein Lal_00013077 [Lupinus albus]","1.90E-42","183","0.55","gb|AAV44205.1| unknow protein [Oryza sativa Japonica Group]","2.56E-38","73","0.74","A0A6A5L394","54.645","1.01E-42","A0A6A5L394_LUPAL","Uncharacterized protein {ECO:0000313|EMBL:KAF1854518.1}","No_KEGG","No_KEGGKO","Pfam","No_GOcodes","No_GOBP","No_GOMF","No_GOCC","Reference proteome {ECO:0000313|Proteomes:UP000464885}.;"
"4","isogroup30333_Past",40950.6398659014,9.38114501311328,0.955192772492913,9.82120602591022,9.12453045436777e-23,7.74672635575823e-20,40950.6398659014,7.03488519872963,1.08031414607745,6.51188843937003,7.42118295965846e-11,3.76784060551802e-08,"isotig32065_Past","isotig32065_Past",144,"gb|OEU20411.1| hypothetical protein FRACYDRAFT_179772, partial [Fragilariopsis cylindrus CCMP1102]","1.01E-16","45","0.82","ref|YP_001152218.1| ORF82c [Pinus koraiensis] >gb|ABP35459.1| ORF82c [Pinus koraiensis]","5.06E-16","44","0.84","Q3BAI2","84.091","1.27E-18","YCX91_PHAAO","Uncharacterized protein ORF91","No_KEGG","No_KEGGKO","Pfam","GO:0009507","No_GOBP","No_GOMF","chloroplast (GO:0009507);","Chloroplast;Plastid.;"
"5","isogroup20691_Past",491.952331806582,10.1318770604839,1.06191259269922,9.54115915955966,1.41244622814817e-21,9.59333478158236e-19,491.952331806582,8.6065026750004,1.17087812105528,7.35046843922881,1.97513414736429e-13,5.103658013036e-10,"isotig22423_Past","isotig22423_Past",366,"ref|XP_020607066.1| LOW QUALITY PROTEIN: RRP12-like protein [Orbicella faveolata]","7.44E-58","109","0.91","ref|XP_020607066.1| LOW QUALITY PROTEIN: RRP12-like protein [Orbicella faveolata]","7.44E-58","109","0.91","Q5ZKD5","55.963","1.06E-33","RRP12_CHICK","RRP12-like protein","gga:423845","No_KEGGKO","PF08161; NUC173","GO:0016021 // GO:0031965 // GO:0005730 // GO:0006364","rRNA processing (GO:0006364);","No_GOMF","integral component of membrane (GO:0016021);nuclear membrane (GO:0031965);nucleolus (GO:0005730);","Membrane;Nucleus;Reference proteome;Transmembrane;Transmembrane helix.;"
"6","isogroup28947_Past",995.815130839859,9.27545993015463,1.00701144781663,9.21087833734699,3.2346710380512e-20,1.83082380753698e-17,995.815130839859,6.95560781919844,1.12644236475546,6.17484572387196,6.62281083650883e-10,2.13976997390476e-07,"isotig30679_Past","isotig30679_Past",207,"emb|CAB4263313.1| unnamed protein product [Prunus armeniaca] >emb|CAB4263414.1| unnamed protein product [Prunus armeniaca] >emb|CAB4286220.1| unnamed protein product [Prunus armeniaca] >emb|CAB4293931.1| unnamed protein product [Prunus armeniaca] >emb|CAB4316585.1| unnamed protein product [Prunus armeniaca]","3.88E-14","66","0.64","emb|CCG06597.1| Putative uncharacterized protein, partial [Pararhodospirillum photometricum DSM 122]","1.55E-13","59","0.59","A0A6J5W0V2","63.636","2.07E-14","A0A6J5W0V2_PRUAR","Uncharacterized protein {ECO:0000313|EMBL:CAB4293931.1}","No_KEGG","No_KEGGKO","Pfam","No_GOcodes","No_GOBP","No_GOMF","No_GOCC","Reference proteome {ECO:0000313|Proteomes:UP000507245}.;"
"7","isogroup03915_Past",47010.6074485519,8.73046530991444,0.995880190018498,8.76658196178426,1.84172050191678e-18,8.93497546358485e-16,47010.6074485519,6.08719541001098,1.12650196444193,5.40362609400915,6.53070081722681e-08,1.657865050316e-05,"isotig05647_Past","isotig05647_Past",1028,"gb|RZC59648.1| hypothetical protein C5167_006959 [Papaver somniferum]","1.85E-26","145","0.5","ref|XP_039683460.1| uncharacterized protein LOC120576898 [Medicago truncatula]","1.96E-23","92","0.59","A0A4Y7JIL6","50.345","9.87E-27","A0A4Y7JIL6_PAPSO","Uncharacterized protein {ECO:0000313|EMBL:RZC59648.1}","No_KEGG","No_KEGGKO","Pfam","No_GOcodes","No_GOBP","No_GOMF","No_GOCC","Reference proteome {ECO:0000313|Proteomes:UP000316621}.;"
"8","isogroup28285_Past",4405.30177627172,8.60502241515924,1.00350997174832,8.57492467181722,9.9151669542754e-18,4.20898837208991e-15,4405.30177627172,5.99114507558501,1.13333853198554,5.28628023004642,1.24828622186726e-07,2.95760615501082e-05,"isotig30017_Past","isotig30017_Past",227,"gb|KUK19636.1| hypothetical protein XD55_0291 [Thermodesulfobacterium commune] >tpg|HCP10551.1| hypothetical protein [Thermodesulfobacterium commune]","1.74E-05","55","0.51","gb|KUK19636.1| hypothetical protein XD55_0291 [Thermodesulfobacterium commune] >tpg|HCP10551.1| hypothetical protein [Thermodesulfobacterium commune]","1.74E-05","55","0.51","No_Uniprotmatch","No_%_identity","No_evalue","No_ID","No_Description","No_KEGG","No_KEGGKO","No_PFAM","No_GO","No_GOCC","No_GOBP","No_GOMF","No_keywords"
"9","isogroup23605_Past",146.266954507229,8.84259616783996,1.09096875535313,8.10526985713511,5.26285741545361e-16,1.98585153143116e-13,146.266954507229,6.89462743547125,1.18330168870015,5.8266015347658,5.65674567245436e-09,1.6753395099919e-06,"isotig25337_Past","isotig25337_Past",328,"gb|ABH09321.1| leucine rich protein [Arachis hypogaea]","8.06E-14","58","0.59","gb|ABH09321.1| leucine rich protein [Arachis hypogaea]","8.06E-14","58","0.59","Q0MX19","58.621","4.30E-14","Q0MX19_ARAHY","Leucine rich protein {ECO:0000313|EMBL:ABH09321.1}","No_KEGG","No_KEGGKO","Pfam","No_GOcodes","No_GOBP","No_GOMF","No_GOCC","No_keywords"
"10","isogroup02457_Past",11268.8915508232,7.70130679877614,0.987845158045547,7.79606675808705,6.38666083864022e-15,2.16891002080222e-12,11268.8915508232,7.18572389747557,1.11758476657539,6.42969026814383,1.27864217363826e-10,5.04921587234486e-08,"isotig04189_Past","isotig04189_Past",1350,"gb|TNV71364.1| hypothetical protein FGO68_gene16112 [Halteria grandinella]","8.27E-19","146","0.42","gb|KHN28130.1| Putative mitochondrial protein [Glycine soja]","2.97E-12","67","0.64","E6PDN8","45.783","1.28E-20","E6PDN8_9ZZZZ","Uncharacterized protein {ECO:0000313|EMBL:CBH74573.1}","No_KEGG","No_KEGGKO","Pfam","No_GOcodes","No_GOBP","No_GOMF","No_GOCC","No_keywords"
